Date,Open,High,Low,Close,Volume,Adj Close
42382,0.0464,0.0482,0.0463,0.0463,265719100,0.0463
42381,0.0456,0.0466,0.045,0.0461,180161700,0.0461
42380,0.0461,0.047,0.045,0.0453,181629800,0.0453
42377,0.0476,0.0481,0.0461,0.0461,218811100,0.0461
42376,0.0477,0.0478,0.0466,0.047,213656400,0.047
42375,0.0497,0.0503,0.0481,0.0485,183194300,0.0485
42374,0.0476,0.0517,0.0476,0.05,236123400,0.05
42373,0.0482,0.0482,0.0474,0.0482,195431600,0.0482
42370,0.0489,0.0489,0.0489,0.0489,0,0.0489
42369,0.0483,0.049,0.048,0.0489,57450900,0.0489
42368,0.0496,0.0498,0.0483,0.0483,235574200,0.0483
42367,0.0511,0.0512,0.0495,0.0499,181295200,0.0499
42366,0.0518,0.0522,0.0507,0.0508,100617900,0.0508
42363,0.0519,0.0519,0.0519,0.0519,0,0.0519
42362,0.0515,0.052,0.0515,0.0519,20017700,0.0519
42361,0.0515,0.0528,0.0515,0.0518,188604300,0.0518
42360,0.0505,0.0515,0.0503,0.0515,180398600,0.0515
42359,0.05,0.051,0.0496,0.0504,199626000,0.0504
42356,0.049,0.0513,0.0488,0.0511,359463700,0.0511
42355,0.0509,0.0514,0.049,0.0498,229012600,0.0498
42354,0.0504,0.0506,0.0496,0.0502,144721600,0.0502
42353,0.0488,0.0508,0.0488,0.0502,235507200,0.0502
42352,0.0472,0.0495,0.047,0.0485,256666500,0.0485
42349,0.0482,0.0487,0.0469,0.048,143908200,0.048
42348,0.046,0.0489,0.0456,0.0482,209756200,0.0482
42347,0.0471,0.0478,0.0458,0.0461,210026900,0.0461
42346,0.0485,0.049,0.0463,0.047,181950400,0.047
42345,0.049,0.0493,0.0484,0.049,118145800,0.049
42342,0.0489,0.0494,0.0481,0.0485,235879000,0.0485
42341,0.0511,0.0513,0.0486,0.049,347865400,0.049
42340,0.0517,0.0518,0.0508,0.0511,133759800,0.0511
42339,0.051,0.0518,0.0509,0.0513,216992700,0.0513
42338,0.0501,0.0513,0.0499,0.0506,352432200,0.0506
42335,0.0501,0.0509,0.0494,0.0506,125289100,0.0506
42334,0.052,0.0524,0.0498,0.0501,255364500,0.0501
42333,0.0505,0.0521,0.0497,0.0517,283374300,0.0517
42332,0.0501,0.0504,0.0487,0.05,217145700,0.05
42331,0.0489,0.0509,0.0488,0.05,160757100,0.05
42328,0.0513,0.0513,0.0485,0.0487,187329100,0.0487
42327,0.053,0.0541,0.0496,0.0506,270034600,0.0506
42326,0.051,0.0532,0.0508,0.0526,275612100,0.0526
42325,0.049,0.0514,0.0487,0.0514,378880700,0.0514
42324,0.0468,0.0498,0.0463,0.0484,302260100,0.0484
42321,0.047,0.0489,0.0468,0.0475,327899800,0.0475
42320,0.047,0.0474,0.0455,0.0467,163820500,0.0467
42319,0.0468,0.0489,0.0461,0.0465,315904000,0.0465
42318,0.0479,0.0493,0.0442,0.0468,549639300,0.0468
42317,0.051,0.0519,0.0472,0.0477,377578900,0.0477
42314,0.053,0.0535,0.0513,0.0527,211432700,0.0527
42313,0.0564,0.0564,0.0523,0.053,223957600,0.053
42312,0.0544,0.0567,0.0533,0.0562,362140200,0.0562
42311,0.0569,0.0579,0.0532,0.0538,370101200,0.0538
42310,0.0525,0.0549,0.0513,0.0549,317428100,0.0549
42307,0.0531,0.0532,0.0504,0.0523,331900300,0.0523
42306,0.0529,0.0534,0.052,0.053,321957400,0.053
42305,0.0478,0.0518,0.0474,0.0517,311138400,0.0517
42304,0.05,0.0501,0.0476,0.048,266249600,0.048
42303,0.0525,0.0525,0.0492,0.0502,281840800,0.0502
42300,0.0533,0.0544,0.0521,0.0528,305142900,0.0528
42299,0.0545,0.0545,0.0518,0.0519,315234400,0.0519
42298,0.0579,0.0582,0.0543,0.0547,281077700,0.0547
42297,0.0563,0.0585,0.0557,0.0582,133151000,0.0582
42296,0.0566,0.0577,0.0554,0.0563,154578200,0.0563
42293,0.0589,0.0595,0.0566,0.0569,271648800,0.0569
42292,0.0562,0.0581,0.0559,0.0576,269330500,0.0576
42291,0.052,0.0575,0.0516,0.0552,330462600,0.0552
42290,0.0552,0.0555,0.0519,0.0546,483910500,0.0546
42289,0.0631,0.0635,0.0567,0.057,334764200,0.057
42286,0.0632,0.0654,0.0604,0.0629,483409400,0.0629
42285,0.0602,0.0625,0.0583,0.06,404681900,0.06
42284,0.0601,0.0639,0.0596,0.0611,525034700,0.0611
42283,0.0585,0.061,0.0561,0.0602,753843400,0.0602
42282,0.0548,0.0583,0.053,0.058,500931400,0.058
42279,0.0487,0.0554,0.0478,0.0523,728638700,0.0523
42278,0.0448,0.0493,0.0444,0.049,518713600,0.049
42277,0.0423,0.0442,0.041,0.0435,363998200,0.0435
42276,0.044,0.0446,0.0406,0.0416,555802900,0.0416
42275,0.0476,0.0476,0.0445,0.045,261096000,0.045
42272,0.0481,0.0483,0.0473,0.0477,108416000,0.0477
42271,0.0486,0.0493,0.0464,0.0473,214645800,0.0473
42270,0.0488,0.0493,0.048,0.0485,136405800,0.0485
42269,0.05,0.0502,0.048,0.0487,164331600,0.0487
42268,0.05,0.0513,0.0497,0.05,201661400,0.05
42265,0.0501,0.0506,0.0491,0.0499,287139400,0.0499
42264,0.0501,0.0506,0.0491,0.0503,165458600,0.0503
42263,0.0502,0.0509,0.0497,0.05,243385100,0.05
42262,0.0488,0.0496,0.0471,0.0493,326783600,0.0493
42261,0.0507,0.0518,0.0482,0.0488,266186700,0.0488
42258,0.053,0.0539,0.0515,0.0517,327503100,0.0517
42257,0.051,0.0532,0.0497,0.0527,495512200,0.0527
42256,0.055,0.055,0.0502,0.051,359389200,0.051
42255,0.0549,0.0553,0.0533,0.0534,201435400,0.0534
42254,0.057,0.0575,0.0533,0.054,271246300,0.054
42251,0.0575,0.0579,0.0564,0.0564,209880000,0.0564
42250,0.0606,0.0614,0.0575,0.0583,241901400,0.0583
42249,0.0611,0.0619,0.0596,0.06,162620600,0.06
42248,0.0625,0.0625,0.0602,0.0607,182422600,0.0607
42247,0.0634,0.0645,0.0628,0.063,150929300,0.063
42244,0.0641,0.0641,0.0622,0.0641,149506400,0.0641
42243,0.0649,0.0654,0.0631,0.064,285039000,0.064
42242,0.0594,0.0659,0.0587,0.0623,391863600,0.0623
42241,0.0574,0.0603,0.0564,0.0601,321844400,0.0601
42240,0.0584,0.0585,0.0541,0.0563,522577600,0.0563
42237,0.0604,0.0618,0.0601,0.0601,149363200,0.0601
42236,0.0615,0.0627,0.0612,0.062,79039100,0.062
42235,0.0625,0.0638,0.0617,0.0617,152429200,0.0617
42234,0.0628,0.0642,0.0623,0.0631,133296700,0.0631
42233,0.0626,0.0634,0.0613,0.0631,135531000,0.0631
42230,0.0636,0.0641,0.0618,0.062,162835100,0.062
42229,0.061,0.0631,0.0608,0.0624,277513900,0.0624
42228,0.0617,0.0617,0.06,0.0601,244227400,0.0601
42227,0.064,0.0642,0.062,0.062,164600400,0.062
42226,0.0642,0.0649,0.0622,0.0638,179798300,0.0638
42223,0.0639,0.0653,0.063,0.064,293111300,0.064
42222,0.0687,0.0687,0.0637,0.0637,475457800,0.0637
42221,0.0678,0.0689,0.0673,0.0685,141908200,0.0685
42220,0.069,0.069,0.0662,0.067,296758500,0.067
42219,0.07,0.0716,0.0685,0.069,188462800,0.069
42216,0.0715,0.0716,0.0691,0.07,194735100,0.07
42215,0.071,0.0719,0.0698,0.0711,184749800,0.0711
42214,0.0725,0.0733,0.0694,0.0708,285001000,0.0708
42213,0.077,0.0772,0.0711,0.072,505153900,0.072
42212,0.0774,0.0795,0.075,0.0752,213224000,0.0752
42209,0.0781,0.0791,0.0773,0.0774,141942100,0.0774
42208,0.0798,0.0803,0.0782,0.0782,154892200,0.0782
42207,0.0791,0.0798,0.0782,0.0791,130970600,0.0791
42206,0.082,0.082,0.0782,0.0795,249808100,0.0795
42205,0.0817,0.0833,0.0812,0.0819,161743100,0.0819
42202,0.083,0.0831,0.0817,0.082,133747400,0.082
42201,0.0818,0.0838,0.0818,0.0824,301266300,0.0824
42200,0.08,0.0809,0.0795,0.0809,185788400,0.0809
42199,0.081,0.0819,0.0783,0.0802,287679100,0.0802
42198,0.0805,0.0846,0.0785,0.0811,522522100,0.0811
42195,0.0796,0.0825,0.0786,0.0803,422316800,0.0803
42194,0.0726,0.077,0.0725,0.077,333213700,0.077
42193,0.071,0.0728,0.0702,0.072,188175200,0.072
42192,0.0726,0.0738,0.0697,0.07,285107100,0.07
42191,0.0738,0.0755,0.0713,0.072,423442600,0.072
42188,0.0775,0.078,0.0757,0.0774,146343100,0.0774
42187,0.0795,0.08,0.0776,0.0776,170219100,0.0776
42186,0.0782,0.0811,0.077,0.0795,389010800,0.0795
42185,0.0749,0.0784,0.0735,0.078,505716300,0.078
42184,0.0753,0.08,0.0748,0.0752,616582800,0.0752
42181,0.0834,0.0849,0.0824,0.0846,166874500,0.0846
42180,0.0831,0.0857,0.0821,0.084,264091300,0.084
42179,0.0865,0.0868,0.0825,0.0839,289597700,0.0839
42178,0.0844,0.0871,0.0844,0.0865,414242800,0.0865
42177,0.081,0.0829,0.0803,0.0829,365372500,0.0829
42174,0.08,0.0813,0.0779,0.0779,408574800,0.0779
42173,0.0785,0.079,0.0773,0.0781,226086700,0.0781
42172,0.0815,0.0827,0.0787,0.0788,177640300,0.0788
42171,0.08,0.083,0.077,0.0811,416801700,0.0811
42170,0.0847,0.0847,0.0797,0.08,350366700,0.08
42167,0.0869,0.0875,0.0853,0.0858,112263700,0.0858
42166,0.0872,0.0898,0.0867,0.0876,215126400,0.0876
42165,0.0845,0.0869,0.083,0.0869,110769100,0.0869
42164,0.0845,0.0859,0.0833,0.0846,132676400,0.0846
42163,0.0864,0.0868,0.0846,0.0846,164097200,0.0846
42160,0.0876,0.0888,0.0861,0.0869,187357900,0.0869
42159,0.0889,0.0897,0.0871,0.0881,159033400,0.0881
42158,0.0861,0.0897,0.0857,0.0897,266713000,0.0897
42157,0.0844,0.0866,0.0834,0.0862,219628300,0.0862
42156,0.0853,0.0865,0.0831,0.084,175151200,0.084
42153,0.0857,0.0876,0.0852,0.0852,286893100,0.0852
