Date,Open,High,Low,Close,Volume,Adj Close
42377,0.12,0.12,0.12,0.12,0,0.12
42376,0.12,0.12,0.12,0.12,0,0.12
42375,0.12,0.12,0.12,0.12,0,0.12
42374,0.12,0.12,0.12,0.12,0,0.12
42373,0.12,0.12,0.12,0.12,0,0.12
42370,0.12,0.12,0.12,0.12,0,0.12
42369,0.12,0.12,0.12,0.12,0,0.12
42368,0.12,0.12,0.12,0.12,0,0.12
42367,0.12,0.12,0.12,0.12,0,0.12
42366,0.12,0.12,0.12,0.12,0,0.12
42363,0.12,0.12,0.12,0.12,0,0.12
42362,0.12,0.12,0.12,0.12,0,0.12
42361,0.12,0.12,0.12,0.12,0,0.12
42360,0.12,0.12,0.12,0.12,0,0.12
42359,0.12,0.12,0.12,0.12,0,0.12
42356,0.12,0.12,0.12,0.12,0,0.12
42355,0.12,0.12,0.12,0.12,0,0.12
42354,0.12,0.12,0.12,0.12,0,0.12
42353,0.12,0.12,0.12,0.12,0,0.12
42352,0.12,0.12,0.12,0.12,0,0.12
42349,0.12,0.12,0.12,0.12,0,0.12
42348,0.12,0.12,0.12,0.12,0,0.12
42347,0.12,0.12,0.12,0.12,0,0.12
42346,0.12,0.12,0.12,0.12,0,0.12
42345,0.12,0.12,0.12,0.12,0,0.12
42342,0.12,0.12,0.12,0.12,0,0.12
42341,0.12,0.12,0.12,0.12,0,0.12
42340,0.12,0.12,0.12,0.12,0,0.12
42339,0.12,0.12,0.12,0.12,0,0.12
42338,0.12,0.12,0.12,0.12,0,0.12
42335,0.12,0.12,0.12,0.12,0,0.12
42334,0.12,0.12,0.12,0.12,0,0.12
42333,0.12,0.12,0.12,0.12,0,0.12
42332,0.12,0.12,0.12,0.12,0,0.12
42331,0.12,0.12,0.12,0.12,0,0.12
42328,0.12,0.12,0.12,0.12,0,0.12
42327,0.12,0.12,0.12,0.12,0,0.12
42326,0.12,0.12,0.12,0.12,0,0.12
42325,0.12,0.12,0.12,0.12,0,0.12
42324,0.12,0.12,0.12,0.12,0,0.12
42321,0.12,0.12,0.12,0.12,0,0.12
42320,0.12,0.12,0.12,0.12,0,0.12
