,Date,Real_date,PT,ES,IT,IE,GR,DE,PT._spread,ES_spread,IT_spread,IE_spread,GR_spread,PT_var,Open_BCP,High_BCP,Low_BCP,Close_BCP,Volume_BCP,AdjClose_BCP,Date_Real,BCP_var,BCP_traded_volume,Open_BPI,High_BPI,Low_BPI,Close_BPI,Volume_BPI,AdjClose_BPI,BPI_var,BPI_traded_volume,Open_BES,High_BES,Low_BES,Close_BES,Volume_BES,AdjClose_BES,BES_var,BES_traded_volume
272,03/01/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02941,2.02941,1.96418,1.98592,3485400,1.76471,03/01/00,0.971043401,6921725.568,4.18753,4.18753,4.06064,4.08992,513000,3.60628,0.678893486,2098128.96,15.2662,15.3207,14.8027,15.0372,167100,11.02663,0.989117255,2512716.12
409,04/01/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95331,1.96418,1.93519,1.94606,9363800,1.72929,04/01/00,0.971664672,18222516.63,4.05088,4.06064,3.88494,3.96302,1758800,3.49439,0.690647008,6970159.576,14.8845,14.8845,14.1703,14.4211,421200,10.57485,0.988652321,6074167.32
547,05/01/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92794,1.93156,1.89895,1.9062,5368900,1.69387,05/01/00,0.971367342,10234197.18,3.90446,3.96302,3.81661,3.8947,1732400,3.43414,0.67357184,6747178.28,14.1757,14.203,13.9031,13.9358,623100,10.21898,0.988257145,8683396.98
685,06/01/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9062,1.94968,1.89895,1.94968,7255000,1.73251,06/01/00,0.951457712,14144928.4,3.95326,3.96302,3.88494,3.96302,2257200,3.49439,0.556145708,8945328.744,14.0394,14.6119,13.8758,14.6065,314500,10.7108,0.988796355,4593744.25
823,07/01/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.97505,1.97868,1.94244,1.95331,7468400,1.73573,07/01/00,0.95463004,14588100.4,4.00207,4.08016,3.98255,4.04111,2395500,3.56324,0.671647153,9680479.005,14.7264,14.8027,14.5029,14.8027,280300,10.85467,0.917986452,4149196.81
1235,10/01/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00042,2.00404,1.97143,2.00042,3210600,1.7776,10/01/00,0.974066157,6422548.452,4.08016,4.08016,3.99231,4.01183,778800,3.53742,0.674338925,3124413.204,14.9554,15.1571,14.6119,14.8191,483400,10.8667,0.988957089,7163552.94
1373,11/01/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04391,2.04391,1.98592,2.00404,5143500,1.78081,11/01/00,0.972933665,10307779.74,4.2461,4.39252,4.08992,4.12896,6597700,3.6407,0.678907902,27241639.39,15.1789,15.6478,15.1571,15.2662,1748700,11.19455,0.989280498,26696003.94
1511,12/01/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00042,2.12001,1.98592,2.12001,15859100,1.88386,12/01/00,0.9745204,33621450.59,4.13873,4.13873,4.00207,4.08016,3991400,3.59767,0.690077189,16285550.62,15.2662,15.2662,14.9172,15.0208,254000,11.0146,0.989105369,3815283.2
1648,13/01/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11639,2.14175,2.06565,2.13813,24745100,1.89997,13/01/00,0.959315147,52908240.66,4.1192,4.1192,4.03135,4.0704,2519900,3.58907,0.634724316,10257000.96,15.0753,15.2662,15.0753,15.2607,379400,11.19052,0.989276638,5789909.58
1785,14/01/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13088,2.13451,2.10189,2.11639,14825000,1.88065,14/01/00,0.955876957,31375481.75,4.17777,4.2949,4.13873,4.2949,4756700,3.78702,0.691049955,20429550.83,15.2716,15.8223,15.2716,15.8223,1509800,11.60233,0.924361745,23888508.54
2194,17/01/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12001,2.12363,2.10914,2.11639,9281900,1.88065,17/01/00,0.973307101,19644120.34,4.2949,4.2949,4.2949,4.2949,0,3.78702,0.697651452,0,15.8223,15.8223,15.8223,15.8223,0,11.60233,0.98965725,0
