Date,Open,High,Low,Close,Volume,Adj Close
42382,1.045,1.098,1.045,1.067,4914100,1.067
42381,1.012,1.049,0.981,1.038,4035600,1.038
42380,1.07,1.077,1.002,1.003,5559000,1.003
42377,1.1,1.115,1.05,1.055,4580200,1.055
42376,1.103,1.118,1.082,1.09,4232100,1.09
42375,1.119,1.15,1.095,1.13,6080700,1.13
42374,1.16,1.16,1.092,1.113,6577300,1.113
42373,1.09,1.174,1.063,1.16,5356800,1.16
42370,1.091,1.091,1.091,1.091,0,1.091
42369,1.1,1.104,1.091,1.091,541300,1.091
42368,1.118,1.125,1.09,1.097,1707400,1.097
42367,1.152,1.155,1.124,1.135,1737800,1.135
42366,1.157,1.174,1.145,1.148,911300,1.148
42363,1.16,1.16,1.16,1.16,0,1.16
42362,1.17,1.178,1.151,1.16,414000,1.16
42361,1.16,1.179,1.16,1.17,1579400,1.17
42360,1.133,1.164,1.132,1.159,1876900,1.159
42359,1.162,1.19,1.132,1.133,2349300,1.133
42356,1.145,1.175,1.131,1.175,1780400,1.175
42355,1.156,1.183,1.135,1.136,1632800,1.136
42354,1.129,1.158,1.127,1.145,1040900,1.145
42353,1.1,1.143,1.1,1.136,1728300,1.136
42352,1.133,1.156,1.095,1.096,2149000,1.096
42349,1.169,1.179,1.111,1.115,1792500,1.115
42348,1.147,1.179,1.145,1.169,2390400,1.169
42347,1.129,1.164,1.102,1.152,3997000,1.152
42346,1.143,1.146,1.1,1.119,1625600,1.119
42345,1.13,1.155,1.127,1.143,2353600,1.143
42342,1.081,1.129,1.081,1.121,2080300,1.121
42341,1.152,1.162,1.081,1.081,4180300,1.081
42340,1.132,1.165,1.132,1.158,1690600,1.158
42339,1.125,1.141,1.121,1.138,1414900,1.138
42338,1.125,1.156,1.103,1.116,2601500,1.116
42335,1.126,1.156,1.123,1.125,1279400,1.125
42334,1.108,1.163,1.096,1.145,3810900,1.145
42333,1.096,1.123,1.088,1.103,1361300,1.103
42332,1.12,1.12,1.072,1.108,3093500,1.108
42331,1.06,1.12,1.049,1.119,2530300,1.119
42328,1.069,1.083,1.052,1.061,1518600,1.061
42327,1.068,1.109,1.047,1.074,2840800,1.074
42326,1.044,1.067,1.035,1.06,2110700,1.06
42325,1.047,1.05,1.032,1.038,2222800,1.038
42324,1.036,1.05,1.015,1.03,1803500,1.03
42321,1.024,1.05,1.016,1.04,2535400,1.04
42320,1.045,1.05,1.015,1.029,1966300,1.029
42319,1.042,1.075,1.027,1.032,2405500,1.032
42318,1.02,1.059,0.992,1.042,3585800,1.042
42317,1.105,1.129,1.022,1.022,2977900,1.022
42314,1.1,1.128,1.1,1.122,1790700,1.122
42313,1.14,1.14,1.099,1.1,2142900,1.1
42312,1.14,1.149,1.133,1.136,2635500,1.136
42311,1.14,1.15,1.122,1.14,2224300,1.14
42310,1.09,1.159,1.09,1.15,5296200,1.15
42307,1.14,1.146,1.093,1.106,2583200,1.106
42306,1.099,1.179,1.099,1.139,7601600,1.139
42305,1.081,1.094,1.065,1.083,1316500,1.083
42304,1.095,1.106,1.063,1.088,2281400,1.088
42303,1.13,1.13,1.081,1.094,1853100,1.094
42300,1.15,1.158,1.119,1.121,2718600,1.121
42299,1.08,1.172,1.073,1.144,4329600,1.144
42298,1.05,1.091,1.028,1.082,3032200,1.082
42297,1.071,1.074,1.05,1.056,2531200,1.056
42296,1.087,1.087,1.053,1.065,2702000,1.065
42293,1.082,1.097,1.059,1.06,2041100,1.06
42292,1.085,1.107,1.063,1.077,2845400,1.077
42291,1.05,1.113,1.042,1.079,3373900,1.079
42290,1.06,1.06,1.008,1.052,3299900,1.052
42289,1.175,1.176,1.065,1.068,4224600,1.068
42286,1.141,1.18,1.141,1.152,2642800,1.152
42285,1.125,1.147,1.115,1.14,4022400,1.14
42284,1.076,1.125,1.076,1.122,4055600,1.122
42283,1.041,1.08,1.016,1.074,2978500,1.074
42282,1.04,1.053,1.029,1.039,3153400,1.039
42279,1.022,1.086,1.019,1.033,7239200,1.033
42278,0.979,1.026,0.963,1.019,6939300,1.019
42277,0.927,0.949,0.92,0.944,1862600,0.944
42276,0.911,0.932,0.905,0.915,4040100,0.915
42275,0.918,0.932,0.91,0.911,3658500,0.911
42272,0.925,0.933,0.91,0.917,1983100,0.917
42271,0.915,0.93,0.91,0.916,5637100,0.916
42270,0.912,0.932,0.892,0.91,3487900,0.91
42269,0.961,0.961,0.895,0.91,3847900,0.91
42268,0.902,0.976,0.902,0.951,8606900,0.951
42265,0.915,0.916,0.888,0.909,2335400,0.909
42264,0.905,0.92,0.89,0.912,1285200,0.912
42263,0.86,0.909,0.86,0.902,2244300,0.902
42262,0.82,0.858,0.803,0.851,2255500,0.851
42261,0.844,0.85,0.805,0.812,1183100,0.812
42258,0.858,0.858,0.836,0.844,939700,0.844
42257,0.877,0.877,0.845,0.847,1615300,0.847
42256,0.896,0.9,0.85,0.866,1190900,0.866
42255,0.873,0.89,0.869,0.873,807300,0.873
42254,0.889,0.892,0.853,0.867,950000,0.867
42251,0.918,0.918,0.875,0.876,1223300,0.876
42250,0.92,0.933,0.911,0.916,1262500,0.916
42249,0.902,0.922,0.886,0.908,1289500,0.908
42248,0.919,0.919,0.883,0.902,1309200,0.902
42247,0.931,0.936,0.912,0.925,976300,0.925
42244,0.959,0.959,0.932,0.936,1339800,0.936
42243,0.953,0.961,0.937,0.95,1553300,0.95
42242,0.929,0.964,0.9,0.925,2891200,0.925
42241,0.909,0.95,0.895,0.929,2784400,0.929
42240,0.93,0.93,0.873,0.895,3507000,0.895
42237,0.983,1.002,0.959,0.96,1384400,0.96
42236,1.005,1.02,0.985,1,1259900,1
42235,1.03,1.031,1.005,1.005,1205800,1.005
42234,1.018,1.034,1.001,1.03,1708700,1.03
42233,0.978,1.035,0.95,1.016,3126700,1.016
42230,0.95,0.964,0.933,0.956,1343700,0.956
42229,0.95,0.96,0.936,0.94,1448300,0.94
42228,0.961,0.961,0.922,0.932,1838700,0.932
42227,0.995,0.995,0.943,0.961,1271900,0.961
42226,0.976,1.001,0.96,0.979,1619300,0.979
42223,0.988,0.999,0.971,0.974,900300,0.974
42222,1.021,1.021,0.972,0.98,2168000,0.98
