,BES,BPI
Q1 2001,,
Q2 2001,,
Q3 2001,,
Q4 2001,,
Q1 2002,,07/02/02
Q2 2002,,25/07/02
Q3 2002,23/10/02,24/10/02
Q4 2002,,03/02/02
Q1 2003,,24/04/03
Q2 2003,,30/07/03
Q3 2003,29/10/03,23/10/03
Q4 2003,,29/01/04
Q1 2004,,21/04/04
Q2 2004,,21/07/04
Q3 2004,,26/10/04
Q4 2004,,26/01/05
Q1 2005,,21/04/05
Q2 2005,,21/07/05
Q3 2005,27/10/05,20/10/05
Q4 2005,,
Q1 2006,,
Q2 2006,,
Q3 2006,,
Q4 2006,,
Q1 2007,,
Q2 2007,,
Q3 2007,,
Q4 2007,,
Q1 2008,,
Q2 2008,,
Q3 2008,,
Q4 2008,,
Q1 2009,,
Q2 2009,,
Q3 2009,,
Q4 2009,,
Q1 2010,,
Q2 2010,,
Q3 2010,,29/10/11
Q4 2010,,26/01/11
Q1 2011,,28/04/11
Q2 2011,,26/07/11
Q3 2011,,28/10/11
Q4 2011,,
Q1 2012,,
Q2 2012,,
Q3 2012,,
Q4 2011,,
Q1 2012,,
Q2 2012,,20/04/12
Q3 2012,,
Q4 2012,,
Q1 2013,,
Q2 2013,,
Q3 2013,,
Q4 2013,,
Q1 2014,,
Q2 2014,,
Q3 2014,,30/10/13
Q4 2014,,
Q1 2015,,
Q2 2015,,
Q3 2015,,28/10/15
Q4 2015,,
