Date,Open,High,Low,Close,Volume,Adj Close
35066,25.76,26.1,24.94,25.15,7767500,4.302
35067,24.66,24.87,23.52,23.54,9442500,4.026
35068,22.91,23.6,22.02,22.76,10762000,3.893
35069,22.89,23.29,22.59,23.2,4909600,3.968
35070,23.9,23.99,23.55,23.6,7145700,4.036
35073,24.1,24.18,23.12,23.16,6334100,3.961
35074,23.45,23.5,23.16,23.38,2819000,3.999
35075,23.35,23.4,23.05,23.2,3434400,3.968
35076,24.5,24.75,23.83,24.12,11975900,4.125
35077,24.15,24.39,23.56,23.65,7372300,4.045
35080,23.87,23.88,23.55,23.69,2512200,4.052
35081,23.8,23.82,23.07,23.3,4912600,3.985
35082,23.25,23.6,23.15,23.17,3382500,3.963
35083,23.39,23.43,23.18,23.18,2087200,3.965
35084,23.45,23.45,23.18,23.19,1862300,3.966
35087,23.24,23.49,23.12,23.2,2490500,3.968
35088,23.1,23.32,22.52,22.72,7427400,3.886
35089,22.93,23.13,22.8,22.97,1871500,3.929
35090,22.81,23.15,22.81,22.89,2159900,3.915
35091,22.85,23.07,22.5,22.64,3073600,3.872
35094,22.5,22.5,22.06,22.15,3750500,3.788
35095,22.25,22.44,22.15,22.17,3418500,3.792
35096,22.2,22.29,22.07,22.08,7618000,3.777
35097,22.25,22.67,22.25,22.45,4458200,3.84
35098,22.51,22.8,22.4,22.4,6481300,3.831
35101,22.69,22.69,22.42,22.59,3209200,3.864
35102,22.51,22.55,22.45,22.5,5316400,3.848
35103,22.52,22.61,22.47,22.47,4503800,3.843
35104,22.4,22.5,22.02,22.02,5080700,3.766
35105,22.02,22.3,21.7,22,8644100,3.763
35108,21.81,22,21.61,21.68,6292600,3.708
35109,21.9,21.98,21.04,21.09,4181600,3.607
35110,21.4,21.5,21.25,21.31,4583300,3.645
35111,21.3,21.39,21,21.02,3774400,3.595
35112,21.12,22.6,21,21.8,10537400,3.729
35115,21.5,21.94,21.28,21.38,4036100,3.657
35116,21.3,21.6,21.27,21.3,4945900,3.643
35117,21.4,21.5,21,21.15,9203700,3.617
35118,21.02,21.2,20.72,20.73,10013800,3.546
35119,20.87,21.15,20.87,21.1,3746600,3.609
35122,20.95,21.1,20.89,21,4861200,3.592
35123,20.9,21.1,20.9,21,8095900,3.592
35124,21,21,20.65,20.84,3108100,3.564
35125,20.6,20.78,20.25,20.75,4683000,3.549
35126,20.75,20.75,20.32,20.6,8474900,3.523
35129,20.75,20.9,20.4,20.45,3025700,3.498
35130,20.45,20.45,20.45,20.45,0,3.498
35131,20.2,20.38,19.8,19.95,9967600,3.412
35132,19.95,19.95,19.2,19.3,7121600,3.301
35133,19.1,19.65,19.03,19.47,9597700,3.33
35136,19.5,19.6,19.03,19.36,5576800,3.311
35137,19.4,20.3,19.21,20,7381000,3.421
35138,20,20.09,19.5,19.85,9832400,3.395
35139,20,20.58,19.96,20,6434100,3.421
35140,20.17,20.27,19.52,19.55,12906500,3.344
