Date,Open,High,Low,Close,Volume,Adj Close
31777,82.76,82.76,82.76,82.76,0,82.76
31778,82.76,82.76,82.76,82.76,0,82.76
31779,82.57,82.57,82.57,82.57,0,82.57
31782,82.82,82.82,82.82,82.82,0,82.82
31783,83.28,83.28,83.28,83.28,0,83.28
31784,83.78,83.78,83.78,83.78,0,83.78
31785,83.52,83.52,83.52,83.52,0,83.52
31786,83.03,83.03,83.03,83.03,0,83.03
31789,83.64,83.64,83.64,83.64,0,83.64
31790,83,83,83,83,0,83
31791,82.99,82.99,82.99,82.99,0,82.99
31792,83.77,83.77,83.77,83.77,0,83.77
31793,84.15,84.15,84.15,84.15,0,84.15
31796,83.39,83.39,83.39,83.39,0,83.39
31797,83.5,83.5,83.5,83.5,0,83.5
31798,83.35,83.35,83.35,83.35,0,83.35
31799,83.48,83.48,83.48,83.48,0,83.48
31800,84.12,84.12,84.12,84.12,0,84.12
31803,83.38,83.38,83.38,83.38,0,83.38
31804,83.64,83.64,83.64,83.64,0,83.64
31805,81.87,81.87,81.87,81.87,0,81.87
31806,82.31,82.31,82.31,82.31,0,82.31
31807,83.2,83.2,83.2,83.2,0,83.2
31810,83.03,83.03,83.03,83.03,0,83.03
31811,82.31,82.31,82.31,82.31,0,82.31
31812,82.72,82.72,82.72,82.72,0,82.72
31813,82.89,82.89,82.89,82.89,0,82.89
31814,83.87,83.87,83.87,83.87,0,83.87
31817,84.03,84.03,84.03,84.03,0,84.03
31818,82.91,82.91,82.91,82.91,0,82.91
31819,83.31,83.31,83.31,83.31,0,83.31
31820,83.22,83.22,83.22,83.22,0,83.22
31821,83.75,83.75,83.75,83.75,0,83.75
31824,84.22,84.22,84.22,84.22,0,84.22
31825,84.24,84.24,84.24,84.24,0,84.24
31826,84.73,84.73,84.73,84.73,0,84.73
31827,84.75,84.75,84.75,84.75,0,84.75
31828,85.26,85.26,85.26,85.26,0,85.26
31831,84.74,84.74,84.74,84.74,0,84.74
31832,84.96,84.96,84.96,84.96,0,84.96
31833,84.99,84.99,84.99,84.99,0,84.99
31834,85.39,85.39,85.39,85.39,0,85.39
31835,85.73,85.73,85.73,85.73,0,85.73
31838,86.22,86.22,86.22,86.22,0,86.22
31839,86.1,86.1,86.1,86.1,0,86.1
31840,86.98,86.98,86.98,86.98,0,86.98
31841,87.63,87.63,87.63,87.63,0,87.63
31842,87.65,87.65,87.65,87.65,0,87.65
31845,87.76,87.76,87.76,87.76,0,87.76
31846,87.49,87.49,87.49,87.49,0,87.49
31847,87.37,87.37,87.37,87.37,0,87.37
31848,87.83,87.83,87.83,87.83,0,87.83
31849,87.73,87.73,87.73,87.73,0,87.73
31852,87.47,87.47,87.47,87.47,0,87.47
31853,87.66,87.66,87.66,87.66,0,87.66
31854,88.34,88.34,88.34,88.34,0,88.34
31855,87.27,87.27,87.27,87.27,0,87.27
31856,87.83,87.83,87.83,87.83,0,87.83
31859,88.7,88.7,88.7,88.7,0,88.7
31860,89.49,89.49,89.49,89.49,0,89.49
31861,89.45,89.45,89.45,89.45,0,89.45
31862,89.74,89.74,89.74,89.74,0,89.74
31863,90.39,90.39,90.39,90.39,0,90.39
31866,89.01,89.01,89.01,89.01,0,89.01
31867,88.4,88.4,88.4,88.4,0,88.4
31868,88.66,88.66,88.66,88.66,0,88.66
31869,89.1,89.1,89.1,89.1,0,89.1
31870,89.06,89.06,89.06,89.06,0,89.06
31873,90.31,90.31,90.31,90.31,0,90.31
31874,89.88,89.88,89.88,89.88,0,89.88
31875,89.67,89.67,89.67,89.67,0,89.67
31876,89.4,89.4,89.4,89.4,0,89.4
31877,88.31,88.31,88.31,88.31,0,88.31
31880,87.49,87.49,87.49,87.49,0,87.49
31881,87.53,87.53,87.53,87.53,0,87.53
31882,88.2,88.2,88.2,88.2,0,88.2
31883,89.22,89.22,89.22,89.22,0,89.22
31884,89.24,89.24,89.24,89.24,0,89.24
31887,89.15,89.15,89.15,89.15,0,89.15
31888,88.82,88.82,88.82,88.82,0,88.82
31889,89.67,89.67,89.67,89.67,0,89.67
31890,89.82,89.82,89.82,89.82,0,89.82
31891,90.12,90.12,90.12,90.12,0,90.12
31894,89.01,89.01,89.01,89.01,0,89.01
31895,89.84,89.84,89.84,89.84,0,89.84
31896,90.42,90.42,90.42,90.42,0,90.42
31897,90.73,90.73,90.73,90.73,0,90.73
31898,91.14,91.14,91.14,91.14,0,91.14
31901,91.03,91.03,91.03,91.03,0,91.03
31902,90.72,90.72,90.72,90.72,0,90.72
31903,91.32,91.32,91.32,91.32,0,91.32
31904,91.37,91.37,91.37,91.37,0,91.37
31905,92.35,92.35,92.35,92.35,0,92.35
31908,93.12,93.12,93.12,93.12,0,93.12
31909,92.28,92.28,92.28,92.28,0,92.28
31910,92.97,92.97,92.97,92.97,0,92.97
31911,93.28,93.28,93.28,93.28,0,93.28
31912,91.97,91.97,91.97,91.97,0,91.97
31915,92.35,92.35,92.35,92.35,0,92.35
31916,92.53,92.53,92.53,92.53,0,92.53
31917,91.32,91.32,91.32,91.32,0,91.32
31918,90.87,90.87,90.87,90.87,0,90.87
31919,91.04,91.04,91.04,91.04,0,91.04
31922,91.04,91.04,91.04,91.04,0,91.04
31923,91.11,91.11,91.11,91.11,0,91.11
31924,90.89,90.89,90.89,90.89,0,90.89
31925,91.32,91.32,91.32,91.32,0,91.32
31926,92.05,92.05,92.05,92.05,0,92.05
31929,92.9,92.9,92.9,92.9,0,92.9
31930,92.1,92.1,92.1,92.1,0,92.1
31931,92.25,92.25,92.25,92.25,0,92.25
31932,92.02,92.02,92.02,92.02,0,92.02
31933,92.02,92.02,92.02,92.02,0,92.02
31936,92.01,92.01,92.01,92.01,0,92.01
31937,92.79,92.79,92.79,92.79,0,92.79
31938,92.15,92.15,92.15,92.15,0,92.15
31939,92.94,92.94,92.94,92.94,0,92.94
31940,93.7,93.7,93.7,93.7,0,93.7
31943,94.53,94.53,94.53,94.53,0,94.53
31944,95.05,95.05,95.05,95.05,0,95.05
31945,95.29,95.29,95.29,95.29,0,95.29
31946,94.7,94.7,94.7,94.7,0,94.7
31947,94.43,94.43,94.43,94.43,0,94.43
31950,94.36,94.36,94.36,94.36,0,94.36
31951,94.98,94.98,94.98,94.98,0,94.98
