Date,Open,High,Low,Close,Volume,Adj Close
42347,179.415,179.415,179.415,179.415,0,179.415
42346,180.459,180.459,180.459,180.459,0,180.459
42345,184.108,184.108,184.108,184.108,0,184.108
42342,183.711,183.711,183.711,183.711,0,183.711
42341,183.289,183.289,183.289,183.289,0,183.289
42340,188.232,188.232,188.232,188.232,0,188.232
42335,188.764,188.764,188.764,188.764,0,188.764
42334,188.883,188.883,188.883,188.883,0,188.883
42333,187.434,187.434,187.434,187.434,0,187.434
42331,187.07,187.07,187.07,187.07,0,187.07
42327,187.873,187.873,187.873,187.873,0,187.873
42324,183.191,183.191,183.191,183.191,0,183.191
42321,183.586,183.586,183.586,183.586,0,183.586
42320,184.654,184.654,184.654,184.654,0,184.654
42319,188.666,188.666,188.666,188.666,0,188.666
42317,186.908,186.908,186.908,186.908,0,186.908
42314,189.413,189.413,189.413,189.413,0,189.413
42313,186.218,186.218,186.218,186.218,0,186.218
42312,186.946,186.946,186.946,186.946,0,186.946
42311,187.466,187.466,187.466,187.466,0,187.466
42310,188.025,188.025,188.025,188.025,0,188.025
42307,186.865,186.865,186.865,186.865,0,186.865
42306,187.068,187.068,187.068,187.068,0,187.068
42305,189.441,189.441,189.441,189.441,0,189.441
42304,187.338,187.338,187.338,187.338,0,187.338
42303,188.84,188.84,188.84,188.84,0,188.84
42300,188.866,188.866,188.866,188.866,0,188.866
42299,186.953,186.953,186.953,186.953,0,186.953
42298,183.495,183.495,183.495,183.495,0,183.495
42297,183.155,183.155,183.155,183.155,0,183.155
42296,184.419,184.419,184.419,184.419,0,184.419
42292,181.375,181.375,181.375,181.375,0,181.375
42291,179.209,179.209,179.209,179.209,0,179.209
42286,183.762,183.762,183.762,183.762,0,183.762
42285,182.407,182.407,182.407,182.407,0,182.407
42282,180.652,180.652,180.652,180.652,0,180.652
42277,175.096,175.096,175.096,175.096,0,175.096
42276,171.54,171.54,171.54,171.54,0,171.54
42275,171.434,171.434,171.434,171.434,0,171.434
42272,175.652,175.652,175.652,175.652,0,175.652
42271,170.711,170.711,170.711,170.711,0,170.711
42270,172.797,172.797,172.797,172.797,0,172.797
42269,173.812,173.812,173.812,173.812,0,173.812
42268,179.021,179.021,179.021,179.021,0,179.021
42261,178.987,178.987,178.987,178.987,0,178.987
42258,180.46,180.46,180.46,180.46,0,180.46
42257,182.449,182.449,182.449,182.449,0,182.449
42256,184.565,184.565,184.565,184.565,0,184.565
42254,179.86,179.86,179.86,179.86,0,179.86
42251,179.389,179.389,179.389,179.389,0,179.389
42250,184.915,184.915,184.915,184.915,0,184.915
42249,181.3,181.3,181.3,181.3,0,181.3
42248,180.322,180.322,180.322,180.322,0,180.322
42247,185.349,185.349,185.349,185.349,0,185.349
42244,186.092,186.092,186.092,186.092,0,186.092
42243,186.502,186.502,186.502,186.502,0,186.502
42242,181.294,181.294,181.294,181.294,0,181.294
42241,183.159,183.159,183.159,183.159,0,183.159
42240,174.519,174.519,174.519,174.519,0,174.519
42237,184.315,184.315,184.315,184.315,0,184.315
42236,190.774,190.774,190.774,190.774,0,190.774
42235,195.709,195.709,195.709,195.709,0,195.709
42234,198.386,198.386,198.386,198.386,0,198.386
42233,197.598,197.598,197.598,197.598,0,197.598
42230,196.798,196.798,196.798,196.798,0,196.798
42229,197.866,197.866,197.866,197.866,0,197.866
42228,195.683,195.683,195.683,195.683,0,195.683
42227,201.642,201.642,201.642,201.642,0,201.642
42226,204.098,204.098,204.098,204.098,0,204.098
42223,201.712,201.712,201.712,201.712,0,201.712
42222,203.559,203.559,203.559,203.559,0,203.559
42221,203.218,203.218,203.218,203.218,0,203.218
42220,201.154,201.154,201.154,201.154,0,201.154
42219,202.989,202.989,202.989,202.989,0,202.989
42216,201.557,201.557,201.557,201.557,0,201.557
42215,201.118,201.118,201.118,201.118,0,201.118
42214,200.47,200.47,200.47,200.47,0,200.47
42213,201.028,201.028,201.028,201.028,0,201.028
42212,198.061,198.061,198.061,198.061,0,198.061
42209,202.769,202.769,202.769,202.769,0,202.769
42208,204.573,204.573,204.573,204.573,0,204.573
42207,204.565,204.565,204.565,204.565,0,204.565
42206,204.322,204.322,204.322,204.322,0,204.322
42205,206.547,206.547,206.547,206.547,0,206.547
42202,205.125,205.125,205.125,205.125,0,205.125
42201,205.407,205.407,205.407,205.407,0,205.407
42200,201.955,201.955,201.955,201.955,0,201.955
42199,200.78,200.78,200.78,200.78,0,200.78
42198,200.308,200.308,200.308,200.308,0,200.308
42195,196.099,196.099,196.099,196.099,0,196.099
42194,189.66,189.66,189.66,189.66,0,189.66
42193,183.816,183.816,183.816,183.816,0,183.816
42192,181.488,181.488,181.488,181.488,0,181.488
42191,185.638,185.638,185.638,185.638,0,185.638
42188,191.833,191.833,191.833,191.833,0,191.833
42187,192.621,192.621,192.621,192.621,0,192.621
42186,194.888,194.888,194.888,194.888,0,194.888
42185,190.427,190.427,190.427,190.427,0,190.427
42184,191.288,191.288,191.288,191.288,0,191.288
42181,201.349,201.349,201.349,201.349,0,201.349
42180,199.745,199.745,199.745,199.745,0,199.745
42179,198.947,198.947,198.947,198.947,0,198.947
42178,200.047,200.047,200.047,200.047,0,200.047
42177,198.745,198.745,198.745,198.745,0,198.745
42174,190.708,190.708,190.708,190.708,0,190.708
42173,189.95,189.95,189.95,189.95,0,189.95
42172,188.605,188.605,188.605,188.605,0,188.605
42171,190.208,190.208,190.208,190.208,0,190.208
42170,189.541,189.541,189.541,189.541,0,189.541
42167,193.976,193.976,193.976,193.976,0,193.976
42166,196.512,196.512,196.512,196.512,0,196.512
42165,194.889,194.889,194.889,194.889,0,194.889
42164,191.223,191.223,191.223,191.223,0,191.223
42163,191.493,191.493,191.493,191.493,0,191.493
42160,193.847,193.847,193.847,193.847,0,193.847
42159,196.884,196.884,196.884,196.884,0,196.884
42158,197.811,197.811,197.811,197.811,0,197.811
42157,196.597,196.597,196.597,196.597,0,196.597
42156,195.538,195.538,195.538,195.538,0,195.538
42153,195.989,195.989,195.989,195.989,0,195.989
42152,199.563,199.563,199.563,199.563,0,199.563
42151,201.664,201.664,201.664,201.664,0,201.664
42150,198.104,198.104,198.104,198.104,0,198.104
42149,200.21,200.21,200.21,200.21,0,200.21
42146,202.573,202.573,202.573,202.573,0,202.573
42145,202.921,202.921,202.921,202.921,0,202.921
42144,203.36,203.36,203.36,203.36,0,203.36
42143,203.102,203.102,203.102,203.102,0,203.102
42142,198.99,198.99,198.99,198.99,0,198.99
42139,199.822,199.822,199.822,199.822,0,199.822
42138,200.417,200.417,200.417,200.417,0,200.417
42137,198.002,198.002,198.002,198.002,0,198.002
42136,197.249,197.249,197.249,197.249,0,197.249
42135,199.5,199.5,199.5,199.5,0,199.5
42132,200.139,200.139,200.139,200.139,0,200.139
42131,196.6,196.6,196.6,196.6,0,196.6
42130,195.472,195.472,195.472,195.472,0,195.472
42129,194.055,194.055,194.055,194.055,0,194.055
42128,199.529,199.529,199.529,199.529,0,199.529
42125,198.435,198.435,198.435,198.435,0,198.435
42124,198.456,198.456,198.456,198.456,0,198.456
42123,197.932,197.932,197.932,197.932,0,197.932
42122,202.183,202.183,202.183,202.183,0,202.183
42121,204.715,204.715,204.715,204.715,0,204.715
42118,202.109,202.109,202.109,202.109,0,202.109
42117,201.43,201.43,201.43,201.43,0,201.43
42116,202.446,202.446,202.446,202.446,0,202.446
42115,201.344,201.344,201.344,201.344,0,201.344
42114,202.325,202.325,202.325,202.325,0,202.325
42111,199.712,199.712,199.712,199.712,0,199.712
42110,205.315,205.315,205.315,205.315,0,205.315
42109,208.96,208.96,208.96,208.96,0,208.96
42108,207.717,207.717,207.717,207.717,0,207.717
42107,210.985,210.985,210.985,210.985,0,210.985
42104,210.067,210.067,210.067,210.067,0,210.067
42103,209.516,209.516,209.516,209.516,0,209.516
42102,208.537,208.537,208.537,208.537,0,208.537
42101,209.323,209.323,209.323,209.323,0,209.323
42096,207.421,207.421,207.421,207.421,0,207.421
42095,206.715,206.715,206.715,206.715,0,206.715
42094,204.862,204.862,204.862,204.862,0,204.862
42093,206.358,206.358,206.358,206.358,0,206.358
42090,203.093,203.093,203.093,203.093,0,203.093
42089,202.654,202.654,202.654,202.654,0,202.654
42088,204.243,204.243,204.243,204.243,0,204.243
42087,206.08,206.08,206.08,206.08,0,206.08
42086,203.055,203.055,203.055,203.055,0,203.055
42083,203.048,203.048,203.048,203.048,0,203.048
42082,198.688,198.688,198.688,198.688,0,198.688
42081,197.483,197.483,197.483,197.483,0,197.483
42080,198.365,198.365,198.365,198.365,0,198.365
42079,200.455,200.455,200.455,200.455,0,200.455
42076,197.647,197.647,197.647,197.647,0,197.647
42075,196.689,196.689,196.689,196.689,0,196.689
42074,196.25,196.25,196.25,196.25,0,196.25
42073,192.875,192.875,192.875,192.875,0,192.875
42072,194.962,194.962,194.962,194.962,0,194.962
42069,195.332,195.332,195.332,195.332,0,195.332
42068,194.621,194.621,194.621,194.621,0,194.621
42067,192.949,192.949,192.949,192.949,0,192.949
42066,191.455,191.455,191.455,191.455,0,191.455
42065,194.676,194.676,194.676,194.676,0,194.676
42062,194.532,194.532,194.532,194.532,0,194.532
42061,193.607,193.607,193.607,193.607,0,193.607
42060,191.642,191.642,191.642,191.642,0,191.642
42059,193.078,193.078,193.078,193.078,0,193.078
42058,191.79,191.79,191.79,191.79,0,191.79
42055,190.142,190.142,190.142,190.142,0,190.142
42054,190.182,190.182,190.182,190.182,0,190.182
42053,189.027,189.027,189.027,189.027,0,189.027
42052,186.007,186.007,186.007,186.007,0,186.007
42051,185.721,185.721,185.721,185.721,0,185.721
42048,186.273,186.273,186.273,186.273,0,186.273
42047,182.708,182.708,182.708,182.708,0,182.708
42046,178.633,178.633,178.633,178.633,0,178.633
42045,179.247,179.247,179.247,179.247,0,179.247
42044,177.103,177.103,177.103,177.103,0,177.103
42041,180.538,180.538,180.538,180.538,0,180.538
42040,179.893,179.893,179.893,179.893,0,179.893
42039,181.432,181.432,181.432,181.432,0,181.432
42038,181.636,181.636,181.636,181.636,0,181.636
42037,176.973,176.973,176.973,176.973,0,176.973
42034,175.891,175.891,175.891,175.891,0,175.891
42033,177.635,177.635,177.635,177.635,0,177.635
42032,176.164,176.164,176.164,176.164,0,176.164
42031,179.091,179.091,179.091,179.091,0,179.091
42030,181.362,181.362,181.362,181.362,0,181.362
42027,180.603,180.603,180.603,180.603,0,180.603
42026,180.514,180.514,180.514,180.514,0,180.514
42025,176.99,176.99,176.99,176.99,0,176.99
42024,176.025,176.025,176.025,176.025,0,176.025
42023,173.921,173.921,173.921,173.921,0,173.921
42020,171.879,171.879,171.879,171.879,0,171.879
42019,170.109,170.109,170.109,170.109,0,170.109
42018,167.296,167.296,167.296,167.296,0,167.296
42017,169.799,169.799,169.799,169.799,0,169.799
42016,166.607,166.607,166.607,166.607,0,166.607
42013,165.38,165.38,165.38,165.38,0,165.38
42012,171.586,171.586,171.586,171.586,0,171.586
42011,166.919,166.919,166.919,166.919,0,166.919
42010,166.895,166.895,166.895,166.895,0,166.895
42009,168.746,168.746,168.746,168.746,0,168.746
42006,175.193,175.193,175.193,175.193,0,175.193
42004,173.892,173.892,173.892,173.892,0,173.892
42003,173.656,173.656,173.656,173.656,0,173.656
42002,175.815,175.815,175.815,175.815,0,175.815
41997,176.816,176.816,176.816,176.816,0,176.816
41996,177.05,177.05,177.05,177.05,0,177.05
41995,174.987,174.987,174.987,174.987,0,174.987
41992,174.081,174.081,174.081,174.081,0,174.081
41991,175.041,175.041,175.041,175.041,0,175.041
41990,169.626,169.626,169.626,169.626,0,169.626
41989,170.245,170.245,170.245,170.245,0,170.245
41988,166.805,166.805,166.805,166.805,0,166.805
41985,171.552,171.552,171.552,171.552,0,171.552
41984,176.346,176.346,176.346,176.346,0,176.346
41983,176.157,176.157,176.157,176.157,0,176.157
41982,177.071,177.071,177.071,177.071,0,177.071
41981,182.572,182.572,182.572,182.572,0,182.572
41978,183.499,183.499,183.499,183.499,0,183.499
41977,178.055,178.055,178.055,178.055,0,178.055
41976,182.265,182.265,182.265,182.265,0,182.265
41975,181.098,181.098,181.098,181.098,0,181.098
41974,179.726,179.726,179.726,179.726,0,179.726
41971,182.2,182.2,182.2,182.2,0,182.2
41970,181.548,181.548,181.548,181.548,0,181.548
41969,179.801,179.801,179.801,179.801,0,179.801
41968,179.895,179.895,179.895,179.895,0,179.895
41967,178.43,178.43,178.43,178.43,0,178.43
41964,176.54,176.54,176.54,176.54,0,176.54
41963,171.433,171.433,171.433,171.433,0,171.433
41962,174.003,174.003,174.003,174.003,0,174.003
41961,173.677,173.677,173.677,173.677,0,173.677
41960,171.932,171.932,171.932,171.932,0,171.932
41957,169.943,169.943,169.943,169.943,0,169.943
41956,168.903,168.903,168.903,168.903,0,168.903
41955,168.091,168.091,168.091,168.091,0,168.091
41954,172.204,172.204,172.204,172.204,0,172.204
41953,172.039,172.039,172.039,172.039,0,172.039
41950,171.293,171.293,171.293,171.293,0,171.293
41949,173.389,173.389,173.389,173.389,0,173.389
41948,174.509,174.509,174.509,174.509,0,174.509
41947,171.576,171.576,171.576,171.576,0,171.576
41946,174.452,174.452,174.452,174.452,0,174.452
41943,176.18,176.18,176.18,176.18,0,176.18
41942,171.864,171.864,171.864,171.864,0,171.864
41941,172.019,172.019,172.019,172.019,0,172.019
41940,175.523,175.523,175.523,175.523,0,175.523
41939,172.816,172.816,172.816,172.816,0,172.816
41936,175.93,175.93,175.93,175.93,0,175.93
41935,175.105,175.105,175.105,175.105,0,175.105
41934,173.228,173.228,173.228,173.228,0,173.228
41933,171.996,171.996,171.996,171.996,0,171.996
41932,167.31,167.31,167.31,167.31,0,167.31
41929,167.923,167.923,167.923,167.923,0,167.923
41928,161.996,161.996,161.996,161.996,0,161.996
41927,164.915,164.915,164.915,164.915,0,164.915
41926,172.224,172.224,172.224,172.224,0,172.224
41925,172.598,172.598,172.598,172.598,0,172.598
41922,172.259,172.259,172.259,172.259,0,172.259
41921,173.769,173.769,173.769,173.769,0,173.769
