Date,Numeric_date,PT ,ES,IT,IE,GR,DE,PT _spread,ES_spread,IT_spread,IE_spread,GR_spread,PT_var,Lag1,Lag2,Lag3,Lag4
02/01/01,35431,5.13,5.086,5.16,4.973,5.361,4.739,0.391,0.347,0.421,0.234,0.622,,,,,
03/01/01,35432,5.104,5.061,5.128,4.954,5.265,4.719,0.385,0.342,0.409,0.235,0.546,-0.006,,,,
04/01/01,35433,5.119,5.07,5.131,4.966,5.285,4.73,0.389,0.34,0.401,0.236,0.555,0.004,,,,
05/01/01,35434,5.076,5.033,5.091,4.922,5.253,4.693,0.383,0.34,0.398,0.229,0.56,-0.006,,,,
08/01/01,35437,5.096,5.041,5.096,4.931,5.269,4.706,0.39,0.335,0.39,0.225,0.563,0.007,-0.006,0.004,-0.006,0
09/01/01,35438,5.149,5.083,5.136,4.979,5.292,4.75,0.399,0.333,0.386,0.229,0.542,0.009,0.007,-0.006,0.004,-0.006
10/01/01,35439,5.18,5.124,5.177,5.013,5.321,4.785,0.395,0.339,0.392,0.228,0.536,-0.004,0.009,0.007,-0.006,0.004
11/01/01,35440,5.132,5.094,5.152,4.986,5.3,4.76,0.372,0.334,0.392,0.226,0.54,-0.023,-0.004,0.009,0.007,-0.006
12/01/01,35441,5.208,5.165,5.215,5.057,5.338,4.83,0.378,0.335,0.385,0.227,0.508,0.006,-0.023,-0.004,0.009,0.007
15/01/01,35444,5.195,5.16,5.208,5.047,5.365,4.821,0.374,0.339,0.387,0.226,0.544,-0.004,0.006,-0.023,-0.004,0.009
16/01/01,35445,5.232,5.188,5.232,5.077,5.367,4.847,0.385,0.341,0.385,0.23,0.52,0.011,-0.004,0.006,-0.023,-0.004
17/01/01,35446,5.193,5.164,5.206,5.054,5.379,4.822,0.371,0.342,0.384,0.232,0.557,-0.014,0.011,-0.004,0.006,-0.023
18/01/01,35447,5.177,5.147,5.189,5.039,5.379,4.811,0.366,0.336,0.378,0.228,0.568,-0.005,-0.014,0.011,-0.004,0.006
19/01/01,35448,5.211,5.17,5.214,5.068,5.367,4.844,0.367,0.326,0.37,0.224,0.523,0.001,-0.005,-0.014,0.011,-0.004
22/01/01,35451,5.22,5.19,5.238,5.09,5.386,4.866,0.354,0.324,0.372,0.224,0.52,-0.013,0.001,-0.005,-0.014,0.011
23/01/01,35452,5.203,5.168,5.222,5.064,5.366,4.846,0.357,0.322,0.376,0.218,0.52,0.003,-0.013,0.001,-0.005,-0.014
24/01/01,35453,5.231,5.197,5.26,5.1,5.416,4.877,0.354,0.32,0.383,0.223,0.539,-0.003,0.003,-0.013,0.001,-0.005
25/01/01,35454,5.236,5.199,5.26,5.096,5.402,4.878,0.358,0.321,0.382,0.218,0.524,0.004,-0.003,0.003,-0.013,0.001
26/01/01,35455,5.232,5.179,5.236,5.068,5.375,4.852,0.38,0.327,0.384,0.216,0.523,0.022,0.004,-0.003,0.003,-0.013
29/01/01,35458,5.225,5.177,5.233,5.06,5.382,4.848,0.377,0.329,0.385,0.212,0.534,-0.003,0.022,0.004,-0.003,0.003
30/01/01,35459,5.198,5.149,5.208,5.033,5.381,4.822,0.376,0.327,0.386,0.211,0.559,-0.001,-0.003,0.022,0.004,-0.003
31/01/01,35460,5.161,5.119,5.182,5.006,5.347,4.797,0.364,0.322,0.385,0.209,0.55,-0.012,-0.001,-0.003,0.022,0.004
01/02/01,35461,5.159,5.109,5.17,4.994,5.323,4.789,0.37,0.32,0.381,0.205,0.534,0.006,-0.012,-0.001,-0.003,0.022
02/02/01,35462,5.144,5.104,5.166,4.984,5.313,4.787,0.357,0.317,0.379,0.197,0.526,-0.013,0.006,-0.012,-0.001,-0.003
05/02/01,35465,5.124,5.088,5.149,4.963,5.299,4.768,0.356,0.32,0.381,0.195,0.531,-0.001,-0.013,0.006,-0.012,-0.001
06/02/01,35466,5.137,5.098,5.149,4.967,5.299,4.774,0.363,0.324,0.375,0.193,0.525,0.007,-0.001,-0.013,0.006,-0.012
07/02/01,35467,5.126,5.084,5.147,4.955,5.284,4.755,0.371,0.329,0.392,0.2,0.529,0.008,0.007,-0.001,-0.013,0.006
08/02/01,35468,5.155,5.115,5.182,4.995,5.309,4.796,0.359,0.319,0.386,0.199,0.513,-0.012,0.008,0.007,-0.001,-0.013
09/02/01,35469,5.123,5.087,5.156,4.961,5.292,4.771,0.352,0.316,0.385,0.19,0.521,-0.007,-0.012,0.008,0.007,-0.001
12/02/01,35472,5.125,5.083,5.145,4.955,5.287,4.764,0.361,0.319,0.381,0.191,0.523,0.009,-0.007,-0.012,0.008,0.007
13/02/01,35473,5.126,5.087,5.145,4.952,5.278,4.761,0.365,0.326,0.384,0.191,0.517,0.004,0.009,-0.007,-0.012,0.008
14/02/01,35474,5.15,5.108,5.17,4.977,5.305,4.784,0.366,0.324,0.386,0.193,0.521,0.001,0.004,0.009,-0.007,-0.012
15/02/01,35475,5.213,5.169,5.231,5.048,5.345,4.841,0.372,0.328,0.39,0.207,0.504,0.006,0.001,0.004,0.009,-0.007
16/02/01,35476,5.188,5.15,5.208,5.025,5.367,4.818,0.37,0.332,0.39,0.207,0.549,-0.002,0.006,0.001,0.004,0.009
19/02/01,35479,5.177,5.139,5.196,5.011,5.345,4.802,0.375,0.337,0.394,0.209,0.543,0.005,-0.002,0.006,0.001,0.004
20/02/01,35480,5.202,5.164,5.23,5.029,5.375,4.818,0.384,0.346,0.412,0.211,0.557,0.009,0.005,-0.002,0.006,0.001
21/02/01,35481,5.232,5.186,5.252,5.051,5.383,4.84,0.392,0.346,0.412,0.211,0.543,0.008,0.009,0.005,-0.002,0.006
22/02/01,35482,5.237,5.195,5.262,5.077,5.419,4.852,0.385,0.343,0.41,0.225,0.567,-0.007,0.008,0.009,0.005,-0.002
23/02/01,35483,5.216,5.164,5.236,5.045,5.392,4.828,0.388,0.336,0.408,0.217,0.564,0.003,-0.007,0.008,0.009,0.005
26/02/01,35486,5.216,5.166,5.24,5.048,5.372,4.83,0.386,0.336,0.41,0.218,0.542,-0.002,0.003,-0.007,0.008,0.009
27/02/01,35487,5.142,5.098,5.176,4.975,5.326,4.757,0.385,0.341,0.419,0.218,0.569,-0.001,-0.002,0.003,-0.007,0.008
28/02/01,35488,5.138,5.093,5.168,4.969,5.3,4.754,0.384,0.339,0.414,0.215,0.546,-0.001,-0.001,-0.002,0.003,-0.007
01/03/01,35489,5.139,5.089,5.166,4.962,5.281,4.746,0.393,0.343,0.42,0.216,0.535,0.009,-0.001,-0.001,-0.002,0.003
02/03/01,35490,5.12,5.079,5.161,4.953,5.301,4.735,0.385,0.344,0.426,0.218,0.566,-0.008,0.009,-0.001,-0.001,-0.002
05/03/01,35493,5.145,5.103,5.183,4.976,5.322,4.758,0.387,0.345,0.425,0.218,0.564,0.002,-0.008,0.009,-0.001,-0.001
06/03/01,35494,5.134,5.102,5.179,4.972,5.332,4.751,0.383,0.351,0.428,0.221,0.581,-0.004,0.002,-0.008,0.009,-0.001
07/03/01,35495,5.138,5.102,5.179,4.976,5.332,4.751,0.387,0.351,0.428,0.225,0.581,0.004,-0.004,0.002,-0.008,0.009
08/03/01,35496,5.124,5.058,5.141,4.929,5.309,4.709,0.415,0.349,0.432,0.22,0.6,0.028,0.004,-0.004,0.002,-0.008
09/03/01,35497,5.131,5.063,5.145,4.937,5.286,4.717,0.414,0.346,0.428,0.22,0.569,-0.001,0.028,0.004,-0.004,0.002
12/03/01,35500,5.118,5.053,5.14,4.922,5.278,4.708,0.41,0.345,0.432,0.214,0.57,-0.004,-0.001,0.028,0.004,-0.004
13/03/01,35501,5.143,5.083,5.17,4.95,5.287,4.735,0.408,0.348,0.435,0.215,0.552,-0.002,-0.004,-0.001,0.028,0.004
14/03/01,35502,5.123,5.06,5.151,4.916,5.271,4.697,0.426,0.363,0.454,0.219,0.574,0.018,-0.002,-0.004,-0.001,0.028
15/03/01,35503,5.132,5.062,5.156,4.923,5.267,4.697,0.435,0.365,0.459,0.226,0.57,0.009,0.018,-0.002,-0.004,-0.001
16/03/01,35504,5.128,5.031,5.107,4.884,5.243,4.665,0.463,0.366,0.442,0.219,0.578,0.028,0.009,0.018,-0.002,-0.004
19/03/01,35507,5.136,5.048,5.129,4.906,5.267,4.688,0.448,0.36,0.441,0.218,0.579,-0.015,0.028,0.009,0.018,-0.002
20/03/01,35508,5.153,5.055,5.134,4.926,5.277,4.699,0.454,0.356,0.435,0.227,0.578,0.006,-0.015,0.028,0.009,0.018
21/03/01,35509,5.101,5.014,5.097,4.891,5.255,4.659,0.442,0.355,0.438,0.232,0.596,-0.012,0.006,-0.015,0.028,0.009
22/03/01,35510,5.036,4.959,5.034,4.831,5.203,4.603,0.433,0.356,0.431,0.228,0.6,-0.009,-0.012,0.006,-0.015,0.028
23/03/01,35511,5.057,4.981,5.055,4.847,5.224,4.621,0.436,0.36,0.434,0.226,0.603,0.003,-0.009,-0.012,0.006,-0.015
26/03/01,35514,5.083,4.996,5.078,4.862,5.24,4.639,0.444,0.357,0.439,0.223,0.601,0.008,0.003,-0.009,-0.012,0.006
27/03/01,35515,5.108,5.025,5.1,4.891,5.214,4.66,0.448,0.365,0.44,0.231,0.554,0.004,0.008,0.003,-0.009,-0.012
28/03/01,35516,5.102,5.017,5.111,4.889,5.24,4.666,0.436,0.351,0.445,0.223,0.574,-0.012,0.004,0.008,0.003,-0.009
29/03/01,35517,5.147,5.051,5.137,4.925,5.261,4.702,0.445,0.349,0.435,0.223,0.559,0.009,-0.012,0.004,0.008,0.003
30/03/01,35518,5.134,5.048,5.134,4.919,5.269,4.705,0.429,0.343,0.429,0.214,0.564,-0.016,0.009,-0.012,0.004,0.008
02/04/01,35521,5.146,5.05,5.147,4.941,5.286,4.719,0.427,0.331,0.428,0.222,0.567,-0.002,-0.016,0.009,-0.012,0.004
03/04/01,35522,5.132,5.065,5.139,4.928,5.27,4.711,0.421,0.354,0.428,0.217,0.559,-0.006,-0.002,-0.016,0.009,-0.012
04/04/01,35523,5.184,5.106,5.181,4.978,5.314,4.753,0.431,0.353,0.428,0.225,0.561,0.01,-0.006,-0.002,-0.016,0.009
05/04/01,35524,5.186,5.11,5.186,4.985,5.32,4.756,0.43,0.354,0.43,0.229,0.564,-0.001,0.01,-0.006,-0.002,-0.016
06/04/01,35525,5.141,5.059,5.132,4.933,5.275,4.712,0.429,0.347,0.42,0.221,0.563,-0.001,-0.001,0.01,-0.006,-0.002
09/04/01,35528,5.149,5.072,5.138,4.946,5.284,4.721,0.428,0.351,0.417,0.225,0.563,-0.001,-0.001,-0.001,0.01,-0.006
10/04/01,35529,5.192,5.112,5.178,4.997,5.302,4.77,0.422,0.342,0.408,0.227,0.532,-0.006,-0.001,-0.001,-0.001,0.01
11/04/01,35530,5.274,5.185,5.257,5.073,5.389,4.844,0.43,0.341,0.413,0.229,0.545,0.008,-0.006,-0.001,-0.001,-0.001
12/04/01,35531,5.273,5.189,5.257,5.078,5.393,4.846,0.427,0.343,0.411,0.232,0.547,-0.003,0.008,-0.006,-0.001,-0.001
13/04/01,35532,5.272,5.189,5.258,5.082,5.396,4.857,0.415,0.332,0.401,0.225,0.539,-0.012,-0.003,0.008,-0.006,-0.001
16/04/01,35535,5.279,5.189,5.263,5.082,5.395,4.857,0.422,0.332,0.406,0.225,0.538,0.007,-0.012,-0.003,0.008,-0.006
17/04/01,35536,5.3,5.228,5.296,5.111,5.415,4.885,0.415,0.343,0.411,0.226,0.53,-0.007,0.007,-0.012,-0.003,0.008
18/04/01,35537,5.326,5.256,5.324,5.155,5.428,4.907,0.419,0.349,0.417,0.248,0.521,0.004,-0.007,0.007,-0.012,-0.003
19/04/01,35538,5.399,5.305,5.378,5.213,5.5,4.976,0.423,0.329,0.402,0.237,0.524,0.004,0.004,-0.007,0.007,-0.012
20/04/01,35539,5.363,5.271,5.343,5.178,5.466,4.951,0.412,0.32,0.392,0.227,0.515,-0.011,0.004,0.004,-0.007,0.007
23/04/01,35542,5.322,5.284,5.311,5.148,5.424,4.92,0.402,0.364,0.391,0.228,0.504,-0.01,-0.011,0.004,0.004,-0.007
24/04/01,35543,5.365,5.284,5.36,5.192,5.471,4.962,0.403,0.322,0.398,0.23,0.509,0.001,-0.01,-0.011,0.004,0.004
25/04/01,35544,5.363,5.283,5.349,5.183,5.471,4.954,0.409,0.329,0.395,0.229,0.517,0.006,0.001,-0.01,-0.011,0.004
26/04/01,35545,5.322,5.239,5.298,5.13,5.421,4.907,0.415,0.332,0.391,0.223,0.514,0.006,0.006,0.001,-0.01,-0.011
27/04/01,35546,5.388,5.306,5.366,5.201,5.471,4.974,0.414,0.332,0.392,0.227,0.497,-0.001,0.006,0.006,0.001,-0.01
