"","Date","Numeric_date","PT","ES","IT","IE","GR","DE","PT._spread","ES_spread","IT_spread","IE_spread","GR_spread","PT_var","Open_BCP","High_BCP","Low_BCP","Close_BCP","Volume_BCP","AdjClose_BCP","Date_Real","BCP_var","BCP_traded_volume","Open_BPI","High_BPI","Low_BPI","Close_BPI","Volume_BPI","AdjClose_BPI","BPI_var","BPI_traded_volume","Open_BES","High_BES","Low_BES","Close_BES","Volume_BES","AdjClose_BES","BES_var","BES_traded_volume"
"1","01/01/02",35795,5.183,5.178,5.27,5.092,5.131,4.997,0.186,0.181,0.273,0.095,0.134,0.416168242330697,1.6489,1.6489,1.6489,1.6489,0,1.46523,"01/01/02",-0.24175726677723,0,2.20602,2.20602,2.20602,2.20602,0,1.94515,-0.477875742230676,0,7.88934,7.88934,7.88934,7.88934,0,5.78517,-0.237042299534845,0
"2","01/01/03",36160,4.324,4.278,4.426,4.3,4.426,4.204,0.12,0.074,0.222,0.096,0.222,-0.198658649398705,0.82626,0.82626,0.82626,0.82626,0,0.73422,"01/01/03",-0.995628013401978,0,2.12793,2.12793,2.12793,2.12793,0,1.8763,-0.0366945584394819,0,6.81525,6.81525,6.81525,6.81525,0,4.99755,-0.157601224600054,0
"3","01/01/04",36525,4.438,4.291,4.422,4.257,4.424,4.292,0.146,-0.001,0.13,-0.035,0.132,0.0256872465074358,0.64144,0.64144,0.64144,0.64144,0,0.56999,"01/01/04",-0.288127861892314,0,2.85025,2.85025,2.85025,2.85025,0,2.5132,0.253421932197995,0,7.08786,7.08786,7.08786,7.08786,0,5.19746,0.0384630184744087,0
"4","01/01/07",37621,4.112,4.007,4.199,3.947,4.194,3.943,0.169,0.064,0.256,0.004,0.251,-0.0792801556420233,1.01471,1.01471,1.01471,1.01471,0,0.90168,"01/01/07",0.367857776594801,0,5.76884,5.76884,5.76884,5.76884,0,5.08666,0.505923336727833,0,7.4259,7.4259,7.4259,7.4259,0,5.44534,0.0455214917709453,0
"5","01/01/08",37986,4.545,4.429,4.648,4.492,4.623,4.302,0.243,0.127,0.346,0.19,0.321,0.0952695269526952,1.05819,1.05819,1.05819,1.05819,0,0.94032,"01/01/08",0.0410923940786115,0,5.23197,5.23197,5.23197,5.23197,0,4.61328,-0.102612457947491,0,8.1783,8.1783,8.1783,8.1783,0,5.99707,0.0919999266308381,0
"6","01/01/09",38352,3.982,3.811,4.381,4.266,5.225,2.95,1.032,0.861,1.431,1.316,2.275,-0.141386238071321,0.29535,0.29535,0.29535,0.29535,0,0.26245,"01/01/09",-2.58285387692894,0,1.7082,1.7082,1.7082,1.7082,0,1.58764,-1.90574689476204,0,3.64752,3.64752,3.64752,3.64752,0,2.88551,-1.07833970424639,0
"7","01/01/13",39813,7.011,5.265,4.497,4.983481465,11.9,1.316,5.695,3.949,3.181,3.667481465,10.584,0.418485237483954,0.04352,0.04352,0.04352,0.04352,0,0.04352,"01/01/13",-5.03056066176471,0,0.943,0.943,0.943,0.943,0,0.943,-0.683605514316013,0,0.80889,0.80889,0.80889,0.80889,0,0.80889,-2.56724647356254,0
"8","01/01/14",40178,6.13,4.151,4.125,3.513,8.419,1.929,4.201,2.222,2.196,1.584,6.49,-0.143719412724307,0.09656,0.09656,0.09656,0.09656,0,0.09656,"01/01/14",0.549295774647887,0,1.22,1.22,1.22,1.22,0,1.22,0.227049180327869,0,0.93904,0.93904,0.93904,0.93904,0,0.93904,0.13859899471801,0
"9","01/01/15",40543,2.687,1.611,1.89,1.25,9.745,0.541,2.146,1.07,1.349,0.709,9.204,-1.2813546706364,0.0657,0.0657,0.0657,0.0657,0,0.0657,"01/01/15",-0.469710806697108,0,1.026,1.026,1.026,1.026,0,1.026,-0.189083820662768,0,0.12,0.12,0.12,0.12,0,0.12,-6.82533333333333,0
"10","01/01/16",40908,2.516,1.771,1.596,1.152,8.285,0.629,1.887,1.142,0.967,0.523,7.656,-0.0679650238473767,0.0489,0.0489,0.0489,0.0489,0,0.0489,"01/01/16",-0.343558282208589,0,1.091,1.091,1.091,1.091,0,1.091,0.0595783684692942,0,0.12,0.12,0.12,0.12,0,0.12,0,0
