Date,Open,High,Low,Close,Volume,Adj Close
42377,0.002,0.002,0.002,0.002,0,0.002
42376,0.002,0.002,0.002,0.002,0,0.002
42375,0.002,0.002,0.002,0.002,0,0.002
42374,0.002,0.002,0.002,0.002,0,0.002
42373,0.002,0.002,0.002,0.002,0,0.002
42370,0.002,0.002,0.002,0.002,0,0.002
42369,0.002,0.002,0.002,0.002,0,0.002
42368,0.002,0.002,0.002,0.002,0,0.002
42367,0.002,0.002,0.002,0.002,0,0.002
42366,0.002,0.002,0.002,0.002,0,0.002
42363,0.002,0.002,0.002,0.002,0,0.002
42362,0.002,0.002,0.002,0.002,0,0.002
42361,0.002,0.002,0.002,0.002,0,0.002
42360,0.002,0.002,0.002,0.002,0,0.002
42359,0.002,0.002,0.002,0.002,0,0.002
42356,0.002,0.002,0.002,0.002,0,0.002
42355,0.0015,0.002,0.0015,0.002,424768900,0.002
42354,0.0012,0.0014,0.0011,0.0014,51824900,0.0014
42353,0.0008,0.0012,0.0007,0.001,589680200,0.001
42352,0.0007,0.0011,0.0006,0.0008,481304200,0.0008
42349,0.001,0.0016,0.0009,0.0014,736765800,0.0014
42348,0.0013,0.0014,0.0008,0.0009,296319600,0.0009
42347,0.0016,0.0016,0.0012,0.0013,844974700,0.0013
42346,0.0019,0.0019,0.0015,0.0016,396146600,0.0016
42345,0.0019,0.002,0.0018,0.0018,165789000,0.0018
42342,0.0021,0.0021,0.0018,0.0019,460843000,0.0019
42341,0.0024,0.0024,0.0019,0.002,765082600,0.002
42340,0.0024,0.0024,0.0023,0.0024,124547000,0.0024
42339,0.0023,0.0024,0.0023,0.0024,159911700,0.0024
42338,0.0024,0.0025,0.0023,0.0023,458865900,0.0023
42335,0.0025,0.0025,0.0023,0.0023,96382400,0.0023
42334,0.0024,0.0025,0.0024,0.0024,53260200,0.0024
42333,0.0025,0.0025,0.0024,0.0025,36681000,0.0025
42332,0.0024,0.0025,0.0023,0.0024,172339000,0.0024
42331,0.0025,0.0025,0.0024,0.0024,85305400,0.0024
42328,0.0024,0.0025,0.0024,0.0024,24099500,0.0024
42327,0.0025,0.0026,0.0024,0.0025,151541800,0.0025
42326,0.0025,0.0026,0.0024,0.0025,115517800,0.0025
42325,0.0025,0.0026,0.0025,0.0025,67921000,0.0025
42324,0.0025,0.0026,0.0024,0.0024,158094300,0.0024
42321,0.0027,0.0027,0.0025,0.0025,103270500,0.0025
42320,0.0028,0.0028,0.0024,0.0025,266463200,0.0025
42319,0.0024,0.0027,0.0023,0.0027,245776900,0.0027
42318,0.0024,0.0025,0.0022,0.0023,428024800,0.0023
42317,0.0028,0.0028,0.0024,0.0025,280918700,0.0025
42314,0.0027,0.0028,0.0027,0.0028,36678600,0.0028
42313,0.0028,0.0028,0.0027,0.0027,59369100,0.0027
42312,0.0027,0.0028,0.0026,0.0028,91796900,0.0028
42311,0.0028,0.0029,0.0027,0.0027,197800900,0.0027
42310,0.0029,0.003,0.0026,0.0029,314645100,0.0029
42307,0.0031,0.0033,0.0028,0.0029,920802100,0.0029
42306,0.0023,0.0029,0.0023,0.0029,952120300,0.0029
42305,0.0023,0.0023,0.0019,0.0022,1042766100,0.0022
42304,0.0026,0.0026,0.0023,0.0023,265033600,0.0023
42303,0.0028,0.0028,0.0025,0.0026,321049700,0.0026
42300,0.0031,0.0031,0.0028,0.0028,163917800,0.0028
42299,0.003,0.0032,0.003,0.003,163592600,0.003
42298,0.0031,0.0033,0.0029,0.003,351466300,0.003
42297,0.0034,0.0034,0.003,0.003,327817600,0.003
42296,0.0036,0.0037,0.0033,0.0034,224840500,0.0034
42293,0.0037,0.0037,0.0036,0.0036,61169700,0.0036
42292,0.0037,0.0037,0.0036,0.0037,29569900,0.0037
42291,0.0036,0.0038,0.0035,0.0036,99961800,0.0036
42290,0.0037,0.0037,0.0035,0.0037,88575900,0.0037
42289,0.0038,0.0039,0.0035,0.0037,237904700,0.0037
42286,0.0038,0.0039,0.0037,0.0038,136244800,0.0038
42285,0.0039,0.004,0.0038,0.0038,79347500,0.0038
42284,0.0039,0.004,0.0038,0.0039,254879000,0.0039
42283,0.0039,0.004,0.0038,0.0038,385000900,0.0038
42282,0.0037,0.0039,0.0037,0.0039,114790600,0.0039
42279,0.0039,0.004,0.0037,0.0038,159257400,0.0038
42278,0.0036,0.0038,0.0036,0.0038,129194700,0.0038
42277,0.0037,0.0038,0.0036,0.0036,57565500,0.0036
42276,0.0038,0.0039,0.0036,0.0037,38282900,0.0037
42275,0.0039,0.0039,0.0037,0.0038,42667400,0.0038
42272,0.0039,0.004,0.0039,0.0039,25673400,0.0039
42271,0.004,0.004,0.0038,0.0038,40653600,0.0038
42270,0.004,0.004,0.0039,0.0039,22990600,0.0039
42269,0.004,0.004,0.0039,0.0039,46734800,0.0039
42268,0.004,0.0041,0.004,0.004,30470200,0.004
42265,0.0041,0.0041,0.0039,0.004,66149400,0.004
42264,0.004,0.0041,0.0039,0.004,52617800,0.004
42263,0.0041,0.0042,0.004,0.004,57612600,0.004
42262,0.004,0.0041,0.0039,0.004,34489000,0.004
42261,0.004,0.0042,0.0039,0.0039,89361200,0.0039
42258,0.004,0.0042,0.004,0.0041,37175000,0.0041
42257,0.004,0.0041,0.0039,0.0041,98605900,0.0041
42256,0.0042,0.0042,0.004,0.0041,40703400,0.0041
42255,0.0042,0.0043,0.0041,0.0041,71174500,0.0041
42254,0.0047,0.0048,0.0041,0.0042,137541100,0.0042
42251,0.0051,0.0051,0.0037,0.0046,176519600,0.0046
42250,0.0052,0.0053,0.0051,0.0051,29128200,0.0051
42249,0.0053,0.0054,0.005,0.0051,78049400,0.0051
42248,0.0053,0.0054,0.0052,0.0053,40910600,0.0053
42247,0.0055,0.0055,0.0053,0.0055,29810700,0.0055
42244,0.0055,0.0055,0.0053,0.0055,39112300,0.0055
42243,0.0056,0.0056,0.0053,0.0055,143885300,0.0055
42242,0.0053,0.0058,0.0053,0.0054,148490900,0.0054
42241,0.0053,0.0055,0.0051,0.0055,106328200,0.0055
42240,0.0055,0.0056,0.0051,0.0052,138297100,0.0052
42237,0.0059,0.0059,0.0057,0.0058,22116500,0.0058
42236,0.0059,0.0059,0.0058,0.0058,23968100,0.0058
42235,0.0059,0.006,0.0058,0.0058,17508900,0.0058
42234,0.006,0.006,0.0058,0.006,43144300,0.006
42233,0.006,0.006,0.0059,0.006,45391600,0.006
42230,0.006,0.0061,0.0059,0.0059,15033500,0.0059
42229,0.0059,0.0061,0.0059,0.0059,36466100,0.0059
42228,0.006,0.006,0.0058,0.0058,42115900,0.0058
42227,0.0061,0.0061,0.0059,0.006,16621100,0.006
42226,0.0061,0.0063,0.0059,0.0061,78599800,0.0061
42223,0.006,0.0061,0.0058,0.006,34105100,0.006
42222,0.0062,0.0062,0.0057,0.006,106048700,0.006
42221,0.006,0.0062,0.006,0.0062,45889000,0.0062
42220,0.0061,0.0062,0.0059,0.0059,55517200,0.0059
42219,0.0061,0.0062,0.0061,0.0062,10023500,0.0062
42216,0.0061,0.0062,0.0061,0.0061,29406200,0.0061
42215,0.0062,0.0062,0.006,0.0061,31538300,0.0061
42214,0.0063,0.0063,0.006,0.0062,63439400,0.0062
42213,0.0064,0.0064,0.0062,0.0063,76208400,0.0063
42212,0.0065,0.0065,0.0063,0.0064,49452800,0.0064
42209,0.0065,0.0066,0.0064,0.0065,54680800,0.0065
42208,0.0065,0.0066,0.0064,0.0064,96541900,0.0064
42207,0.0064,0.0065,0.0064,0.0064,19438800,0.0064
42206,0.0065,0.0066,0.0064,0.0064,45291600,0.0064
42205,0.0065,0.0066,0.0064,0.0066,26039000,0.0066
42202,0.0066,0.0066,0.0064,0.0065,31233300,0.0065
42201,0.0066,0.0066,0.0064,0.0066,66520900,0.0066
42200,0.0066,0.0066,0.0063,0.0064,91296300,0.0064
42199,0.0066,0.0067,0.0065,0.0065,32655800,0.0065
42198,0.0065,0.0068,0.0064,0.0066,165603900,0.0066
42195,0.0066,0.0067,0.0065,0.0066,116181800,0.0066
42194,0.0062,0.0065,0.0062,0.0065,113390000,0.0065
42193,0.0063,0.0063,0.0061,0.0063,55330500,0.0063
42192,0.0063,0.0064,0.0061,0.0061,41551900,0.0061
42191,0.0062,0.0064,0.0061,0.0062,89657100,0.0062
42188,0.0065,0.0065,0.0063,0.0064,42565600,0.0064
42187,0.0064,0.0066,0.0064,0.0064,24756500,0.0064
42186,0.0064,0.0066,0.0063,0.0065,78335000,0.0065
42185,0.0062,0.0064,0.0061,0.0063,179584000,0.0063
42184,0.0062,0.0064,0.0061,0.0062,116919400,0.0062
42181,0.0067,0.0069,0.0066,0.0068,73648800,0.0068
42180,0.0067,0.0069,0.0066,0.0067,73148600,0.0067
42179,0.0069,0.0069,0.0066,0.0068,135121200,0.0068
42178,0.0068,0.007,0.0068,0.007,102826900,0.007
42177,0.0065,0.0068,0.0065,0.0068,122446400,0.0068
42174,0.0065,0.0067,0.0063,0.0063,166821900,0.0063
42173,0.0065,0.0066,0.0064,0.0065,48057800,0.0065
42172,0.0066,0.0067,0.0065,0.0066,45771900,0.0066
42171,0.0065,0.0068,0.0064,0.0066,87312500,0.0066
42170,0.0067,0.0068,0.0065,0.0067,86315100,0.0067
42167,0.0069,0.007,0.0067,0.0068,136941600,0.0068
42166,0.007,0.0071,0.0069,0.0069,72378100,0.0069
42165,0.007,0.0071,0.0069,0.007,43196000,0.007
42164,0.0069,0.007,0.0068,0.007,87508600,0.007
42163,0.0069,0.007,0.0068,0.0068,57201600,0.0068
42160,0.007,0.007,0.0069,0.007,30671100,0.007
42159,0.007,0.007,0.0069,0.0069,47769600,0.0069
42158,0.0069,0.0071,0.0069,0.007,86923200,0.007
42157,0.0068,0.007,0.0068,0.0068,86481200,0.0068
42156,0.0069,0.0069,0.0067,0.0068,58624700,0.0068
42153,0.007,0.0071,0.0068,0.0068,132105500,0.0068
42152,0.0073,0.0073,0.0069,0.007,94553800,0.007
42151,0.007,0.0072,0.0067,0.0072,261876900,0.0072
42150,0.0074,0.0074,0.0069,0.007,184260500,0.007
42149,0.0075,0.0076,0.0073,0.0073,61739800,0.0073
42146,0.0075,0.0076,0.0074,0.0075,42202100,0.0075
42145,0.0074,0.0075,0.0074,0.0075,33448200,0.0075
42144,0.0074,0.0076,0.0072,0.0074,148584100,0.0074
42143,0.0077,0.0078,0.0076,0.0076,99414000,0.0076
42142,0.0078,0.008,0.0076,0.0077,184677200,0.0077
42139,0.0078,0.0079,0.0077,0.0079,135079800,0.0079
42138,0.0082,0.0082,0.0078,0.0079,329505100,0.0079
42137,0.0078,0.0083,0.0078,0.0081,818296000,0.0081
42136,0.0073,0.0076,0.0072,0.0076,473723700,0.0076
42135,0.0071,0.0072,0.0069,0.0071,114750200,0.0071
42132,0.0068,0.0073,0.0068,0.007,284577900,0.007
42131,0.0067,0.0068,0.0063,0.0067,144701100,0.0067
42130,0.0067,0.0069,0.0067,0.0067,21281700,0.0067
42129,0.0069,0.007,0.0067,0.0067,75872900,0.0067
42128,0.0068,0.007,0.0068,0.0069,49434300,0.0069
42125,0.0067,0.0067,0.0067,0.0067,0,0.0067
42124,0.0068,0.0069,0.0067,0.0067,67177900,0.0067
42123,0.007,0.0071,0.0068,0.0068,56398900,0.0068
42122,0.0071,0.0071,0.0069,0.0069,60031200,0.0069
42121,0.0069,0.0071,0.0069,0.007,46015400,0.007
42118,0.0068,0.007,0.0068,0.0069,81292000,0.0069
42117,0.0068,0.007,0.0067,0.0067,30543800,0.0067
42116,0.0071,0.0071,0.0068,0.0069,58679200,0.0069
42115,0.0072,0.0073,0.007,0.0071,59244200,0.0071
42114,0.0071,0.0072,0.007,0.0071,59751900,0.0071
42111,0.0072,0.0073,0.007,0.007,69560800,0.007
42110,0.0074,0.0074,0.0072,0.0073,64034500,0.0073
42109,0.0073,0.0075,0.0073,0.0073,19526500,0.0073
42108,0.0074,0.0076,0.0073,0.0074,79429500,0.0074
42107,0.0075,0.0076,0.0074,0.0075,25853900,0.0075
42104,0.0077,0.0077,0.0075,0.0075,27424500,0.0075
42103,0.0074,0.0077,0.0074,0.0077,164539400,0.0077
42102,0.0075,0.0075,0.0073,0.0074,37215800,0.0074
42101,0.0077,0.0077,0.0074,0.0074,88864200,0.0074
42100,0.0077,0.0077,0.0077,0.0077,0,0.0077
42097,0.0077,0.0077,0.0077,0.0077,0,0.0077
42096,0.0077,0.0077,0.0076,0.0077,21500200,0.0077
42095,0.0077,0.0078,0.0075,0.0077,120576700,0.0077
42094,0.0078,0.0078,0.0076,0.0077,35086700,0.0077
42093,0.0077,0.0078,0.0076,0.0078,95896400,0.0078
42090,0.0077,0.008,0.0077,0.0077,211749200,0.0077
42089,0.0077,0.0077,0.0075,0.0076,202795500,0.0076
42088,0.008,0.0082,0.0077,0.0077,407878600,0.0077
42087,0.0082,0.0084,0.0082,0.0082,550520600,0.0082
42086,0.0079,0.0083,0.0075,0.0081,529715300,0.0081
42083,0.0073,0.0079,0.0073,0.0079,200834600,0.0079
42082,0.0072,0.0075,0.0071,0.0073,117129100,0.0073
42081,0.0073,0.0073,0.007,0.0072,101242300,0.0072
42080,0.0077,0.0077,0.0072,0.0073,156375400,0.0073
42079,0.0078,0.0078,0.0076,0.0076,45479400,0.0076
42076,0.0079,0.008,0.0077,0.0077,143103300,0.0077
42075,0.0079,0.0082,0.0077,0.0079,379328700,0.0079
42074,0.0072,0.0081,0.0072,0.0079,550715600,0.0079
42073,0.0072,0.0075,0.0069,0.0072,283288700,0.0072
42072,0.0068,0.0073,0.0066,0.0072,275694600,0.0072
42069,0.0068,0.0069,0.0067,0.0067,80981200,0.0067
42068,0.0067,0.0067,0.0065,0.0067,47710300,0.0067
42067,0.0067,0.0067,0.0065,0.0067,71072000,0.0067
42066,0.0067,0.0072,0.0066,0.0067,306754900,0.0067
42065,0.0066,0.0067,0.0065,0.0066,69156400,0.0066
42062,0.0067,0.0068,0.0065,0.0066,189041800,0.0066
42061,0.0059,0.0068,0.0059,0.0068,649368800,0.0068
42060,0.0059,0.006,0.0059,0.006,33425900,0.006
42059,0.006,0.006,0.0059,0.006,16675000,0.006
42058,0.006,0.006,0.0058,0.006,38007000,0.006
42055,0.006,0.006,0.0058,0.0059,61625200,0.0059
42054,0.006,0.006,0.0059,0.006,45907900,0.006
42053,0.006,0.006,0.0059,0.006,59936600,0.006
42052,0.0058,0.0061,0.0057,0.006,251208200,0.006
42051,0.0058,0.0059,0.0057,0.0058,42564000,0.0058
42048,0.0058,0.0059,0.0057,0.0059,117944400,0.0059
42047,0.0058,0.0059,0.0056,0.0057,160052200,0.0057
42046,0.0059,0.0059,0.0058,0.0058,12572800,0.0058
42045,0.0059,0.006,0.0058,0.0059,102099900,0.0059
42044,0.0061,0.0061,0.0059,0.0059,19633700,0.0059
42041,0.006,0.0061,0.0058,0.0061,68962700,0.0061
42040,0.0059,0.006,0.0058,0.0058,53543900,0.0058
42039,0.006,0.006,0.0059,0.0059,37880400,0.0059
42038,0.0059,0.0061,0.0059,0.0059,60019800,0.0059
42037,0.006,0.006,0.0059,0.006,44120800,0.006
42034,0.006,0.006,0.0059,0.006,16004200,0.006
42033,0.006,0.006,0.0057,0.0059,100595400,0.0059
42032,0.006,0.0061,0.0058,0.0059,112968400,0.0059
42031,0.006,0.0062,0.006,0.006,14325300,0.006
42030,0.0062,0.0062,0.006,0.0062,44336200,0.0062
42027,0.0062,0.0063,0.006,0.0062,88109400,0.0062
42026,0.0061,0.0064,0.006,0.0061,294472000,0.0061
42025,0.0061,0.0061,0.0059,0.0061,57038400,0.0061
42024,0.0061,0.0062,0.006,0.0061,41272700,0.0061
42023,0.0059,0.0061,0.0059,0.006,41310900,0.006
42020,0.006,0.0061,0.0059,0.0059,71368600,0.0059
42019,0.006,0.0062,0.006,0.006,65640500,0.006
42018,0.0059,0.0063,0.0058,0.006,251381900,0.006
42017,0.0058,0.006,0.0058,0.0059,12496800,0.0059
42016,0.006,0.006,0.0058,0.0058,22971500,0.0058
42013,0.006,0.0061,0.0059,0.006,13300600,0.006
42012,0.006,0.0061,0.0059,0.0061,28733100,0.0061
42011,0.006,0.0061,0.0059,0.0059,76395000,0.0059
42010,0.0061,0.0062,0.0059,0.006,91074300,0.006
42009,0.0061,0.0066,0.006,0.0061,116329300,0.0061
42006,0.0058,0.006,0.0057,0.006,66079800,0.006
42005,0.0057,0.0057,0.0057,0.0057,0,0.0057
42004,0.0058,0.0059,0.0056,0.0057,73361000,0.0057
42003,0.0058,0.0059,0.0056,0.0057,98492600,0.0057
42002,0.006,0.0061,0.0057,0.0058,130326600,0.0058
41999,0.0061,0.0061,0.0061,0.0061,0,0.0061
41998,0.0061,0.0061,0.0061,0.0061,0,0.0061
41997,0.006,0.0061,0.006,0.0061,15188900,0.0061
41996,0.0062,0.0063,0.006,0.0061,67851400,0.0061
41995,0.0063,0.0064,0.0062,0.0062,34363500,0.0062
41992,0.0064,0.0064,0.0062,0.0063,56941800,0.0063
41991,0.0061,0.0064,0.0061,0.0064,35060300,0.0064
41990,0.0063,0.0064,0.006,0.0062,79248400,0.0062
41989,0.0065,0.0066,0.0064,0.0064,29625000,0.0064
41988,0.0066,0.0068,0.0064,0.0064,59108100,0.0064
41985,0.0065,0.0065,0.0063,0.0064,55672900,0.0064
41984,0.0066,0.0067,0.0065,0.0067,31176700,0.0067
41983,0.0067,0.0067,0.0066,0.0067,19739100,0.0067
41982,0.0067,0.0068,0.0066,0.0066,35059100,0.0066
41981,0.0068,0.0068,0.0067,0.0068,16362100,0.0068
41978,0.0067,0.0068,0.0067,0.0068,35203400,0.0068
41977,0.0068,0.007,0.0065,0.0066,193718700,0.0066
41976,0.0068,0.0068,0.0067,0.0068,40815600,0.0068
41975,0.0067,0.0069,0.0067,0.0067,32620400,0.0067
41974,0.0068,0.0068,0.0066,0.0068,37079900,0.0068
41971,0.0068,0.0069,0.0067,0.0068,63200900,0.0068
41970,0.0069,0.007,0.0067,0.0068,122429700,0.0068
41969,0.0069,0.007,0.0068,0.0069,29131900,0.0069
41968,0.0068,0.0071,0.0068,0.0069,214057500,0.0069
41967,0.0067,0.0069,0.0067,0.0068,88796400,0.0068
41964,0.0066,0.0068,0.0066,0.0068,75015100,0.0068
41963,0.0068,0.0068,0.0065,0.0066,55205300,0.0066
41962,0.0068,0.0069,0.0067,0.0068,30048800,0.0068
41961,0.0066,0.0069,0.0066,0.0069,92369600,0.0069
41960,0.0066,0.0067,0.0065,0.0066,24368100,0.0066
41957,0.0066,0.0067,0.0065,0.0065,29780000,0.0065
41956,0.0065,0.0067,0.0065,0.0065,45167000,0.0065
41955,0.0067,0.0068,0.0065,0.0065,98173800,0.0065
41954,0.0068,0.0069,0.0067,0.0067,19010100,0.0067
41953,0.0068,0.0069,0.0067,0.0068,64470100,0.0068
41950,0.007,0.007,0.0068,0.0068,45091900,0.0068
41949,0.0069,0.0072,0.0068,0.007,130347100,0.007
41948,0.0069,0.007,0.0068,0.0069,38575900,0.0069
41947,0.0069,0.007,0.0068,0.0068,42843300,0.0068
41946,0.0071,0.0071,0.0069,0.007,60291800,0.007
41943,0.0069,0.0072,0.0068,0.0072,140508100,0.0072
41942,0.007,0.007,0.0066,0.007,114777700,0.007
41941,0.0071,0.0072,0.0069,0.007,63976000,0.007
41940,0.0069,0.0071,0.0068,0.0071,93285000,0.0071
41939,0.0068,0.007,0.0067,0.0068,79147600,0.0068
41936,0.0067,0.0069,0.0067,0.0068,60135300,0.0068
41935,0.0068,0.0069,0.0067,0.0068,62433500,0.0068
41934,0.0067,0.0069,0.0067,0.0068,122122200,0.0068
41933,0.0063,0.0067,0.0062,0.0066,220281500,0.0066
41932,0.0063,0.0064,0.0061,0.0063,102127400,0.0063
41929,0.0061,0.0064,0.0061,0.0062,171089000,0.0062
41928,0.0067,0.0067,0.0061,0.0062,253120300,0.0062
41927,0.0069,0.007,0.0065,0.0066,92884000,0.0066
41926,0.007,0.007,0.0068,0.0069,80348000,0.0069
41925,0.0069,0.0072,0.0069,0.0069,52246200,0.0069
41922,0.0071,0.0071,0.0067,0.007,193380100,0.007
41921,0.0074,0.0074,0.007,0.0072,89930000,0.0072
41920,0.0075,0.0075,0.0071,0.0073,137860400,0.0073
41919,0.0077,0.0079,0.0075,0.0075,81693900,0.0075
41918,0.008,0.008,0.0076,0.0077,93290600,0.0077
41915,0.0079,0.008,0.0078,0.008,45347200,0.008
41914,0.008,0.0081,0.0077,0.0078,134940700,0.0078
41913,0.008,0.0081,0.0077,0.0079,84648600,0.0079
41912,0.0079,0.0081,0.0079,0.008,77027300,0.008
41911,0.0082,0.0082,0.0078,0.0079,91143900,0.0079
41908,0.0082,0.0082,0.008,0.0081,64230000,0.0081
41907,0.0084,0.0085,0.008,0.0083,87450200,0.0083
41906,0.0085,0.0085,0.0084,0.0085,21459400,0.0085
41905,0.0085,0.0086,0.0085,0.0085,29873600,0.0085
41904,0.0087,0.0087,0.0085,0.0085,60083900,0.0085
41901,0.0088,0.0088,0.0086,0.0086,94198700,0.0086
41900,0.0085,0.0088,0.0085,0.0086,80641400,0.0086
41899,0.0086,0.0087,0.0085,0.0085,39688300,0.0085
41898,0.0087,0.0087,0.0085,0.0086,47193100,0.0086
41897,0.0087,0.0088,0.0086,0.0087,63176000,0.0087
41894,0.0089,0.0089,0.0088,0.0089,21758300,0.0089
41893,0.0088,0.0088,0.0085,0.0088,115861700,0.0088
41892,0.0088,0.0088,0.0087,0.0088,32026800,0.0088
41891,0.0088,0.0089,0.0087,0.0087,64414400,0.0087
41890,0.009,0.009,0.0087,0.0089,90923800,0.0089
41887,0.0092,0.0092,0.0089,0.0089,88558000,0.0089
41886,0.0088,0.0092,0.0088,0.009,304185400,0.009
41885,0.0088,0.0089,0.0087,0.0088,55225600,0.0088
41884,0.0088,0.0089,0.0087,0.0087,32781700,0.0087
41883,0.0089,0.0089,0.0087,0.0087,38514100,0.0087
41880,0.0087,0.0088,0.0087,0.0088,34975800,0.0088
41879,0.0089,0.009,0.0087,0.0087,131775800,0.0087
41878,0.0087,0.009,0.0086,0.0089,160347000,0.0089
41877,0.0085,0.0087,0.0084,0.0086,85022200,0.0086
41876,0.0086,0.0086,0.0084,0.0085,58000000,0.0085
41873,0.0084,0.0086,0.0083,0.0085,63305400,0.0085
41872,0.0086,0.0086,0.0082,0.0084,83368000,0.0084
41871,0.0089,0.0089,0.0085,0.0086,119097400,0.0086
41870,0.0085,0.0091,0.0085,0.0089,300932400,0.0089
41869,0.0081,0.0085,0.0081,0.0085,88207000,0.0085
41866,0.0079,0.0081,0.0078,0.0079,98375100,0.0079
41865,0.0075,0.0079,0.0074,0.0078,190484300,0.0078
41864,0.0072,0.0075,0.0072,0.0075,123107600,0.0075
41863,0.0072,0.0073,0.0071,0.0072,56525700,0.0072
41862,0.007,0.0074,0.0069,0.0072,181935600,0.0072
41859,0.0072,0.0073,0.0066,0.0069,383651900,0.0069
41858,0.0079,0.0079,0.0065,0.0072,539509200,0.0072
41857,0.0084,0.0085,0.0078,0.008,213812000,0.008
41856,0.0087,0.0088,0.0085,0.0085,49097500,0.0085
41855,0.0085,0.0089,0.008,0.0087,140777200,0.0087
41852,0.0089,0.0089,0.0087,0.0088,75470700,0.0088
41851,0.0091,0.0091,0.0087,0.009,140670200,0.009
41850,0.0094,0.0095,0.0092,0.0093,87665800,0.0093
41849,0.0095,0.0096,0.0093,0.0096,79497100,0.0096
41848,0.0094,0.0096,0.0094,0.0096,73953900,0.0096
41845,0.0092,0.0094,0.0091,0.0094,116834900,0.0094
41844,0.0091,0.0093,0.009,0.0091,87182500,0.0091
