Date,Open,High,Low,Close,Volume,Adj Close,Var
03/01/00,4.18753,4.18753,4.06064,4.08992,513000,3.60628,
04/01/00,4.05088,4.06064,3.88494,3.96302,1758800,3.49439,-0.031026432
05/01/00,3.90446,3.96302,3.81661,3.8947,1732400,3.43414,-0.017241922
06/01/00,3.95326,3.96302,3.88494,3.96302,2257200,3.49439,0.017544422
07/01/00,4.00207,4.08016,3.98255,4.04111,2395500,3.56324,0.01970301
10/01/00,4.08016,4.08016,3.99231,4.01183,778800,3.53742,-0.007246214
11/01/00,4.2461,4.39252,4.08992,4.12896,6597700,3.6407,0.02919642
12/01/00,4.13873,4.13873,4.00207,4.08016,3991400,3.59767,-0.011819156
13/01/00,4.1192,4.1192,4.03135,4.0704,2519900,3.58907,-0.002390436
14/01/00,4.17777,4.2949,4.13873,4.2949,4756700,3.78702,0.055153563
17/01/00,4.2949,4.2949,4.2949,4.2949,0,3.78702,0
18/01/00,4.2949,4.2949,4.2949,4.2949,0,3.78702,0
19/01/00,4.2949,4.2949,3.93374,3.98255,12295500,3.51161,-0.072724728
20/01/00,4.02159,4.05088,3.93374,4.02159,8374700,3.54603,0.009801772
21/01/00,3.99231,4.02159,3.98255,4.00207,2013500,3.52882,-0.004853315
24/01/00,4.02159,4.02159,3.9435,3.96302,1416200,3.49439,-0.009756803
25/01/00,3.93374,3.96302,3.8947,3.90446,1740800,3.44275,-0.014777973
26/01/00,3.91422,3.9435,3.91422,3.91422,1553800,3.45136,0.002500908
27/01/00,3.9435,3.9435,3.8947,3.8947,1242400,3.43414,-0.004989338
28/01/00,3.8947,3.90446,3.82637,3.88494,2258000,3.42554,-0.002504266
31/01/00,3.85565,3.85565,3.81661,3.85565,1465600,3.39971,-0.007540417
01/02/00,3.85565,3.88494,3.83613,3.83613,1090200,3.3825,-0.005062196
02/02/00,3.87517,3.88494,3.82637,3.88494,1541000,3.42554,0.012724316
03/02/00,3.88494,3.93374,3.86541,3.92398,1687300,3.45996,0.010048051
04/02/00,3.90446,3.97279,3.90446,3.92398,2101000,3.45996,0
07/02/00,3.91422,3.93374,3.88494,3.92398,1658600,3.45996,0
08/02/00,3.90446,3.92398,3.88494,3.90446,2408800,3.44275,-0.004974046
09/02/00,3.8947,4.05088,3.8947,3.9435,2060400,3.47717,0.009997822
10/02/00,3.91422,3.91422,3.87517,3.90446,941200,3.44275,-0.009898855
11/02/00,3.8947,3.91422,3.85565,3.88494,1533900,3.42554,-0.004998911
14/02/00,3.86541,3.8947,3.83613,3.84589,1835100,3.39111,-0.01005097
15/02/00,3.86541,3.91422,3.83613,3.88494,1703100,3.42554,0.010153018
16/02/00,3.87517,3.88494,3.82637,3.84589,1864900,3.39111,-0.01005097
17/02/00,3.83613,3.86541,3.82637,3.84589,1092800,3.39111,0
18/02/00,3.82637,3.85565,3.78732,3.83613,2088000,3.3825,-0.002538992
21/02/00,3.80685,3.82637,3.77756,3.79709,681300,3.34808,-0.010175905
22/02/00,3.80685,3.82637,3.7678,3.77756,600700,3.33086,-0.005143246
23/02/00,3.80685,3.81661,3.78732,3.80685,1008600,3.35668,0.007751752
24/02/00,3.82637,3.83613,3.75804,3.77756,1764200,3.33086,-0.007692124
25/02/00,3.79709,3.80685,3.75804,3.80685,852800,3.35668,0.007751752
28/02/00,3.79709,3.84589,3.78732,3.84589,623400,3.39111,0.010257159
29/02/00,3.85565,3.86541,3.73852,3.7678,1268000,3.32225,-0.020306035
01/03/00,3.77756,3.78732,3.70924,3.70924,1297200,3.27061,-0.015543683
02/03/00,3.72876,3.75804,3.68971,3.69947,886800,3.262,-0.002632536
03/03/00,3.73852,3.74828,3.70924,3.72876,414400,3.28783,0.007918455
06/03/00,3.73852,3.73852,3.68971,3.68971,536600,3.25339,-0.010474994
07/03/00,3.68971,3.68971,3.68971,3.68971,0,3.25339,0
08/03/00,3.69947,3.719,3.50425,3.53353,1764300,3.11568,-0.042328156
09/03/00,3.5433,3.56282,3.46521,3.47497,2456600,3.06405,-0.016571021
10/03/00,3.52377,3.62138,3.51401,3.61162,1388900,3.18454,0.039323771
13/03/00,3.61162,3.61162,3.61162,3.61162,0,3.18454,0
14/03/00,3.66043,3.67019,3.5921,3.5921,873700,3.16733,-0.005404234
15/03/00,3.57258,3.62138,3.52377,3.5921,954000,3.16733,0
16/03/00,3.63115,3.69947,3.57258,3.63115,1305200,3.20176,0.010870355
17/03/00,3.69947,3.72876,3.65067,3.65067,1355200,3.21897,0.005375169
20/03/00,3.70924,3.70924,3.53353,3.55306,646100,3.1329,-0.026738367
21/03/00,3.55306,3.60186,3.53353,3.5433,568500,3.1243,-0.00274506
22/03/00,3.64091,3.64091,3.47497,3.49449,834300,3.08126,-0.013775886
23/03/00,3.49449,3.5433,3.48473,3.51401,470300,3.09847,0.005585377
24/03/00,3.56282,3.56282,3.48473,3.52377,501200,3.10708,0.002778791
27/03/00,3.52377,3.61162,3.49449,3.51401,2191100,3.09847,-0.002771091
28/03/00,3.51401,3.5433,3.48473,3.48473,2984600,3.07265,-0.008333145
29/03/00,3.80685,3.97279,3.70924,3.92398,5630700,3.45996,0.126050803
30/03/00,3.90446,3.92398,3.73852,3.75804,994200,3.31364,-0.042289506
31/03/00,3.70924,3.70924,3.62138,3.62138,1447100,3.19314,-0.036364843
03/04/00,3.66043,3.82637,3.63115,3.75804,984200,3.31364,0.037737149
