,PT ,ES,IT,IE,GR,DE,PT _spread,ES_spread,IT_spread,IE_spread,GR_spread
36893,5.13,5.13,5.086,5.16,5.361,4.973,0.157,0.157,0.113,0.187,0.388
36894,5.104,5.104,5.061,5.128,5.265,4.954,0.15,0.15,0.107,0.174,0.311
36895,5.119,5.119,5.07,5.131,5.285,4.966,0.153,0.153,0.104,0.165,0.319
36896,5.076,5.076,5.033,5.091,5.253,4.922,0.154,0.154,0.111,0.169,0.331
36899,5.096,5.096,5.041,5.096,5.269,4.931,0.165,0.165,0.11,0.165,0.338
36900,5.149,5.149,5.083,5.136,5.292,4.979,0.17,0.17,0.104,0.157,0.313
36901,5.18,5.18,5.124,5.177,5.321,5.013,0.167,0.167,0.111,0.164,0.308
36902,5.132,5.132,5.094,5.152,5.3,4.986,0.146,0.146,0.108,0.166,0.314
36903,5.208,5.208,5.165,5.215,5.338,5.057,0.151,0.151,0.108,0.158,0.281
36906,5.195,5.195,5.16,5.208,5.365,5.047,0.148,0.148,0.113,0.161,0.318
36907,5.232,5.232,5.188,5.232,5.367,5.077,0.155,0.155,0.111,0.155,0.29
36908,5.193,5.193,5.164,5.206,5.379,5.054,0.139,0.139,0.11,0.152,0.325
36909,5.177,5.177,5.147,5.189,5.379,5.039,0.138,0.138,0.108,0.15,0.34
36910,5.211,5.211,5.17,5.214,5.367,5.068,0.143,0.143,0.102,0.146,0.299
36913,5.22,5.22,5.19,5.238,5.386,5.09,0.13,0.13,0.1,0.148,0.296
36914,5.203,5.203,5.168,5.222,5.366,5.064,0.139,0.139,0.104,0.158,0.302
36915,5.231,5.231,5.197,5.26,5.416,5.1,0.131,0.131,0.097,0.16,0.316
36916,5.236,5.236,5.199,5.26,5.402,5.096,0.14,0.14,0.103,0.164,0.306
36917,5.232,5.232,5.179,5.236,5.375,5.068,0.164,0.164,0.111,0.168,0.307
36920,5.225,5.225,5.177,5.233,5.382,5.06,0.165,0.165,0.117,0.173,0.322
36921,5.198,5.198,5.149,5.208,5.381,5.033,0.165,0.165,0.116,0.175,0.348
36922,5.161,5.161,5.119,5.182,5.347,5.006,0.155,0.155,0.113,0.176,0.341
36923,5.159,5.159,5.109,5.17,5.323,4.994,0.165,0.165,0.115,0.176,0.329
36924,5.144,5.144,5.104,5.166,5.313,4.984,0.16,0.16,0.12,0.182,0.329
36927,5.124,5.124,5.088,5.149,5.299,4.963,0.161,0.161,0.125,0.186,0.336
36928,5.137,5.137,5.098,5.149,5.299,4.967,0.17,0.17,0.131,0.182,0.332
36929,5.126,5.126,5.084,5.147,5.284,4.955,0.171,0.171,0.129,0.192,0.329
36930,5.155,5.155,5.115,5.182,5.309,4.995,0.16,0.16,0.12,0.187,0.314
36931,5.123,5.123,5.087,5.156,5.292,4.961,0.162,0.162,0.126,0.195,0.331
36934,5.125,5.125,5.083,5.145,5.287,4.955,0.17,0.17,0.128,0.19,0.332
36935,5.126,5.126,5.087,5.145,5.278,4.952,0.174,0.174,0.135,0.193,0.326
36936,5.15,5.15,5.108,5.17,5.305,4.977,0.173,0.173,0.131,0.193,0.328
36937,5.213,5.213,5.169,5.231,5.345,5.048,0.165,0.165,0.121,0.183,0.297
36938,5.188,5.188,5.15,5.208,5.367,5.025,0.163,0.163,0.125,0.183,0.342
36941,5.177,5.177,5.139,5.196,5.345,5.011,0.166,0.166,0.128,0.185,0.334
36942,5.202,5.202,5.164,5.23,5.375,5.029,0.173,0.173,0.135,0.201,0.346
36943,5.232,5.232,5.186,5.252,5.383,5.051,0.181,0.181,0.135,0.201,0.332
36944,5.237,5.237,5.195,5.262,5.419,5.077,0.16,0.16,0.118,0.185,0.342
36945,5.216,5.216,5.164,5.236,5.392,5.045,0.171,0.171,0.119,0.191,0.347
36948,5.216,5.216,5.166,5.24,5.372,5.048,0.168,0.168,0.118,0.192,0.324
36949,5.142,5.142,5.098,5.176,5.326,4.975,0.167,0.167,0.123,0.201,0.351
36950,5.138,5.138,5.093,5.168,5.3,4.969,0.169,0.169,0.124,0.199,0.331
36951,5.139,5.139,5.089,5.166,5.281,4.962,0.177,0.177,0.127,0.204,0.319
36952,5.12,5.12,5.079,5.161,5.301,4.953,0.167,0.167,0.126,0.208,0.348
36955,5.145,5.145,5.103,5.183,5.322,4.976,0.169,0.169,0.127,0.207,0.346
36956,5.134,5.134,5.102,5.179,5.332,4.972,0.162,0.162,0.13,0.207,0.36
36957,5.138,5.138,5.102,5.179,5.332,4.976,0.162,0.162,0.126,0.203,0.356
36958,5.124,5.124,5.058,5.141,5.309,4.929,0.195,0.195,0.129,0.212,0.38
36959,5.131,5.131,5.063,5.145,5.286,4.937,0.194,0.194,0.126,0.208,0.349
36962,5.118,5.118,5.053,5.14,5.278,4.922,0.196,0.196,0.131,0.218,0.356
36963,5.143,5.143,5.083,5.17,5.287,4.95,0.193,0.193,0.133,0.22,0.337
36964,5.123,5.123,5.06,5.151,5.271,4.916,0.207,0.207,0.144,0.235,0.355
36965,5.132,5.132,5.062,5.156,5.267,4.923,0.209,0.209,0.139,0.233,0.344
36966,5.128,5.128,5.031,5.107,5.243,4.884,0.244,0.244,0.147,0.223,0.359
36969,5.136,5.136,5.048,5.129,5.267,4.906,0.23,0.23,0.142,0.223,0.361
36970,5.153,5.153,5.055,5.134,5.277,4.926,0.227,0.227,0.129,0.208,0.351
36971,5.101,5.101,5.014,5.097,5.255,4.891,0.21,0.21,0.123,0.206,0.364
36972,5.036,5.036,4.959,5.034,5.203,4.831,0.205,0.205,0.128,0.203,0.372
36973,5.057,5.057,4.981,5.055,5.224,4.847,0.21,0.21,0.134,0.208,0.377
